date,n_active,n_missing_stage,min_width_ft,min_width_survey_id,avg_lowest3_width_ft,lowest3_survey_id_1,lowest3_width_ft_1,lowest3_survey_id_2,lowest3_width_ft_2,lowest3_survey_id_3,lowest3_width_ft_3
2023-08-01,79,0,689.6,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,723.4,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,689.6,LM_24_CARX_20230705_CS_849_SORT_LWRP,693.8,LM_07_FMB_20230807_CS_4722_4682,786.9
2023-08-02,79,0,689.6,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,718.5,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,689.6,LM_24_CARX_20230705_CS_849_SORT_LWRP,693.8,LM_07_FMB_20230807_CS_4722_4682,772.0
2023-08-03,79,0,689.6,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,713.5,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,689.6,LM_24_CARX_20230705_CS_849_SORT_LWRP,693.8,LM_07_FMB_20230807_CS_4722_4682,757.1
2023-08-04,79,0,686.4,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,712.4,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,686.4,LM_24_CARX_20230705_CS_849_SORT_LWRP,693.6,LM_07_FMB_20230807_CS_4722_4682,757.1
2023-08-05,79,0,689.6,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,713.5,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,689.6,LM_24_CARX_20230705_CS_849_SORT_LWRP,693.8,LM_07_FMB_20230807_CS_4722_4682,757.1
2023-08-06,79,0,694.3,LM_24_CARX_20230705_CS_849_SORT_LWRP,711.2,LM_24_CARX_20230705_CS_849_SORT_LWRP,694.3,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,696.0,LM_07_FMB_20230807_CS_4722_4682,743.2
2023-08-07,79,0,694.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,719.9,LM_24_CARX_20230705_CS_849_SORT_LWRP,694.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,707.9,LM_07_FMB_20230807_CS_4722_4682,757.1
2023-08-08,79,0,734.4,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,747.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,734.4,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_07_FMB_20230807_CS_4722_4682,757.1
2023-08-09,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,770.1,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,771.6,LM_07_FMB_20230807_CS_4722_4682,786.9
2023-08-10,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,785.8,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,792.0,LM_07_FMB_20230807_CS_4722_4682,813.6
2023-08-11,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,794.1,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,792.0,LM_07_FMB_20230807_CS_4722_4682,838.7
2023-08-12,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,795.8,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,789.8,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-13,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,789.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,771.6,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-14,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,789.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,771.6,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-15,79,0,743.0,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,780.2,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,743.0,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-16,79,0,743.0,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,780.2,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,743.0,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-17,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,789.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,771.6,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-18,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,795.8,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,789.8,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-19,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,795.8,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,789.8,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-20,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,795.8,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,789.8,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-21,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,789.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,771.6,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-22,79,0,751.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,789.7,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,771.6,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-23,79,0,743.0,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,780.2,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,743.0,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_07_FMB_20230807_CS_4722_4682,845.9
2023-08-24,79,0,734.4,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,777.3,LM_22_RANX_20230420_CS_778_780_SORT_LWRP,734.4,LM_24_CARX_20230705_CS_849_SORT_LWRP,751.7,LM_07_FMB_20230807_CS_4722_4682,845.9
