week,stlrate_per_ton
2003-01-01,5.4264
2003-01-08,5.4264
2003-01-15,8.618400000000001
2003-01-22,8.5386
2003-01-29,6.862800000000001
2003-02-05,5.825400000000001
2003-02-12,5.5461
2003-02-19,5.306700000000001
2003-02-26,5.306700000000001
2003-03-05,5.625900000000001
2003-03-12,6.184500000000001
2003-03-19,5.825400000000001
2003-03-26,5.0274
2003-04-02,4.5885
2003-04-09,4.389
2003-04-16,3.8703000000000003
2003-04-23,3.6309000000000005
2003-04-30,3.5511
2003-05-07,3.6309000000000005
2003-05-14,3.3915
2003-05-21,4.2294
2003-05-28,4.189500000000001
2003-06-04,4.2294
2003-06-11,4.1496
2003-06-18,4.0698
2003-06-25,4.4289000000000005
2003-07-02,4.309200000000001
2003-07-09,4.2294
2003-07-16,4.389
2003-07-23,4.3491
2003-07-30,4.9077
2003-08-06,5.306700000000001
2003-08-13,5.865300000000001
2003-08-20,6.703200000000001
2003-08-27,7.9401
2003-09-03,7.9401
2003-09-10,8.2194
2003-09-17,9.9351
2003-09-24,10.693200000000001
2003-10-01,11.2917
2003-10-08,11.172
2003-10-15,10.0947
2003-10-22,11.97
2003-10-29,13.965
2003-11-05,10.0548
2003-11-12,6.6633000000000004
2003-11-19,5.9451
2003-11-26,5.665800000000001
2003-12-03,5.825400000000001
2003-12-10,7.1421
2003-12-17,7.261800000000001
2003-12-24,6.6633000000000004
2003-12-31,6.56355
2004-01-07,6.4638
2004-01-14,6.4638
2004-01-21,6.2643
2004-01-28,5.985
2004-02-04,5.865300000000001
2004-02-11,5.3865
2004-02-18,5.306700000000001
2004-02-25,5.187
2004-03-03,5.187
2004-03-10,5.0673
2004-03-17,4.9476
2004-03-24,4.5885
2004-03-31,4.6284
2004-04-07,4.6683
2004-04-14,4.5885
2004-04-21,4.5087
2004-04-28,4.5087
2004-05-05,4.5087
2004-05-12,4.5087
2004-05-19,4.7481
2004-05-26,5.187
2004-06-02,5.2269000000000005
2004-06-09,5.0673
2004-06-16,4.788
2004-06-23,4.788
2004-06-30,4.6683
2004-07-07,4.5486
2004-07-14,4.4688
2004-07-21,4.5087
2004-07-28,6.0249
2004-08-04,7.182
2004-08-11,7.1421
2004-08-18,8.6982
2004-08-25,8.2992
2004-09-01,8.4588
2004-09-08,10.334100000000001
2004-09-15,14.8827
2004-09-22,15.561000000000002
2004-09-29,16.518600000000003
2004-10-06,16.0797
2004-10-13,12.2493
2004-10-20,11.0523
2004-10-27,14.683200000000001
2004-11-03,12.6483
