week,contract_month_label,fwd_rate_per_ton
2004-01-07,Feb 2004,6.3106239
2004-01-14,Feb 2004,6.22041
2004-01-21,Feb 2004,6.0249
2004-01-28,Feb 2004,5.865300000000001
2004-02-04,Mar 2004,5.9052
2004-02-11,Mar 2004,5.7456000000000005
2004-02-18,Mar 2004,5.4663
2004-02-25,Mar 2004,5.3466000000000005
2004-03-03,Apr 2004,5.306700000000001
2004-03-10,Apr 2004,5.1471
2004-03-17,Apr 2004,4.9077
2004-03-24,Apr 2004,4.8678
2004-03-31,Apr 2004,4.788
2004-04-07,May 2004,4.708200000000001
2004-04-14,May 2004,4.8279000000000005
2004-04-21,May 2004,4.6284
2004-04-28,May 2004,4.6683
2004-05-05,Jun 2004,4.8279000000000005
2004-05-12,Jun 2004,4.9077
2004-05-19,Jun 2004,5.107200000000001
2004-05-26,Jun 2004,5.3865
2004-06-02,Jul 2004,5.4663
2004-06-09,Jul 2004,5.4264
2004-06-16,Jul 2004,5.4264
2004-06-23,Jul 2004,5.2269000000000005
2004-06-30,Jul 2004,5.2269000000000005
2004-07-07,Aug 2004,6.783
2004-07-14,Aug 2004,6.9825
2004-07-21,Aug 2004,7.221900000000001
2004-07-28,Aug 2004,7.740600000000001
2004-08-04,Sep 2004,10.2942
2004-08-11,Sep 2004,10.453800000000001
2004-08-18,Sep 2004,10.573500000000001
2004-08-25,Sep 2004,10.812899999999999
2004-09-01,Oct 2004,10.773
2004-09-08,Oct 2004,10.9725
2004-09-15,Oct 2004,12.768000000000002
2004-09-22,Oct 2004,13.087200000000001
2004-09-29,Oct 2004,13.725600000000002
2004-10-06,Nov 2004,9.296700000000001
2004-10-13,Nov 2004,9.296700000000001
2004-10-20,Nov 2004,9.6159
2004-10-27,Nov 2004,10.9326
2004-11-03,Dec 2004,7.820400000000001
2004-11-10,Dec 2004,7.98
2004-11-17,Dec 2004,8.0199
2004-11-24,Dec 2004,7.341600000000001
2004-12-01,Jan 2005,7.182
2004-12-08,Jan 2005,7.381500000000001
2004-12-15,Jan 2005,8.778
2004-12-22,Jan 2005,9.416400000000001
2004-12-29,Jan 2005,9.3366
2005-01-05,Feb 2005,7.780500000000001
2005-01-12,Feb 2005,8.618400000000001
2005-01-19,Feb 2005,9.2568
2005-01-26,Feb 2005,9.4962
2005-02-02,Mar 2005,7.900200000000001
2005-02-09,Mar 2005,7.4214
2005-02-16,Mar 2005,8.6982
2005-02-23,Mar 2005,9.7356
2005-03-02,Apr 2005,9.5361
2005-03-09,Apr 2005,9.0174
2005-03-16,Apr 2005,10.0149
2005-03-23,Apr 2005,8.1396
2005-03-30,Apr 2005,6.9825
2005-04-06,May 2005,7.820400000000001
2005-04-13,May 2005,7.6608
2005-04-20,May 2005,7.261800000000001
2005-04-27,May 2005,6.9426
2005-05-04,Jun 2005,8.3391
2005-05-11,Jun 2005,8.2992
2005-05-18,Jun 2005,7.900200000000001
2005-05-25,Jun 2005,7.9401
2005-06-01,Jul 2005,8.618400000000001
2005-06-08,Jul 2005,8.259300000000001
2005-06-15,Jul 2005,7.780500000000001
2005-06-22,Jul 2005,7.581
2005-06-29,Jul 2005,7.7007
2005-07-06,Aug 2005,9.8952
2005-07-13,Aug 2005,9.576
2005-07-20,Aug 2005,11.132100000000001
2005-07-27,Aug 2005,11.0124
2005-08-03,Sep 2005,12.369000000000002
2005-08-10,Sep 2005,13.206900000000001
2005-08-17,Sep 2005,14.4837
2005-08-24,Sep 2005,14.8827
2005-08-31,Sep 2005,21.945
2005-09-07,Oct 2005,22.6233
2005-09-14,Oct 2005,24.339000000000002
2005-09-21,Oct 2005,22.463700000000003
2005-09-28,Oct 2005,23.94
2005-10-05,Nov 2005,18.832800000000002
2005-10-12,Nov 2005,19.152
2005-10-19,Nov 2005,18.872700000000002
2005-10-26,Nov 2005,17.436300000000003
2005-11-02,Dec 2005,13.167
2005-11-09,Dec 2005,11.8104
2005-11-16,Dec 2005,13.087200000000001
2005-11-23,Dec 2005,12.728100000000001
2005-11-30,Dec 2005,12.6483
2005-12-07,Jan 2006,15.0024
2005-12-14,Jan 2006,16.2393
2005-12-21,Jan 2006,16.4787
2005-12-28,Jan 2006,15.8802
2006-01-04,Feb 2006,14.364
2006-01-11,Feb 2006,13.805399999999999
2006-01-18,Feb 2006,14.124600000000001
2006-01-25,Feb 2006,13.286700000000002
2006-02-01,Mar 2006,13.326600000000001
2006-02-08,Mar 2006,14.2842
2006-02-15,Mar 2006,14.0448
2006-02-22,Mar 2006,13.167
2006-03-01,Apr 2006,12.488700000000001
2006-03-08,Apr 2006,12.169500000000001
2006-03-15,Apr 2006,11.97
2006-03-22,Apr 2006,11.2917
2006-03-29,Apr 2006,10.653300000000002
2006-04-05,May 2006,10.533600000000002
2006-04-12,May 2006,10.7331
2006-04-19,May 2006,9.416400000000001
2006-04-26,May 2006,9.0174
2006-05-03,Jun 2006,10.9326
2006-05-10,Jun 2006,12.4488
2006-05-17,Jun 2006,13.406400000000001
2006-05-24,Jun 2006,13.8852
2006-05-31,Jun 2006,12.408900000000001
2006-06-07,Jul 2006,13.4463
2006-06-14,Jul 2006,12.768000000000002
2006-06-21,Jul 2006,13.087200000000001
2006-06-28,Jul 2006,14.4039
2006-07-05,Aug 2006,20.1495
2006-07-12,Aug 2006,20.468700000000002
2006-07-19,Aug 2006,22.0248
2006-07-26,Aug 2006,21.306600000000003
