week,contract_month_label,fwd_rate_per_ton
2004-01-07,Apr 2004,5.7456000000000005
2004-01-14,Apr 2004,5.7456000000000005
2004-01-21,Apr 2004,5.4663
2004-01-28,Apr 2004,5.5062
2004-02-04,May 2004,5.4264
2004-02-11,May 2004,5.5461
2004-02-18,May 2004,5.2269000000000005
2004-02-25,May 2004,5.2269000000000005
2004-03-03,Jun 2004,5.3865
2004-03-10,Jun 2004,5.306700000000001
2004-03-17,Jun 2004,5.1471
2004-03-24,Jun 2004,5.187
2004-03-31,Jun 2004,5.1471
2004-04-07,Jul 2004,5.3466000000000005
2004-04-14,Jul 2004,5.3466000000000005
2004-04-21,Jul 2004,5.3865
2004-04-28,Jul 2004,5.3865
2004-05-05,Aug 2004,6.384000000000001
2004-05-12,Aug 2004,6.5436000000000005
2004-05-19,Aug 2004,6.9426
2004-05-26,Aug 2004,6.9426
2004-06-02,Sep 2004,8.817900000000002
2004-06-09,Sep 2004,8.8977
2004-06-16,Sep 2004,8.778
2004-06-23,Sep 2004,8.8977
2004-06-30,Sep 2004,8.9775
2004-07-07,Oct 2004,9.655800000000001
2004-07-14,Oct 2004,9.7356
2004-07-21,Oct 2004,9.775500000000001
2004-07-28,Oct 2004,10.413900000000002
2004-08-04,Nov 2004,7.4613
2004-08-11,Nov 2004,7.4613
2004-08-18,Nov 2004,7.4214
2004-08-25,Nov 2004,7.4214
2004-09-01,Dec 2004,6.304200000000001
2004-09-08,Dec 2004,6.4239
2004-09-15,Dec 2004,6.5835
2004-09-22,Dec 2004,6.6234
2004-09-29,Dec 2004,7.0224
2004-10-06,Jan 2005,7.221900000000001
2004-10-13,Jan 2005,6.9825
2004-10-20,Jan 2005,7.261800000000001
2004-10-27,Jan 2005,7.900200000000001
2004-11-03,Feb 2005,7.5411
2004-11-10,Feb 2005,7.740600000000001
2004-11-17,Feb 2005,7.620900000000001
2004-11-24,Feb 2005,7.620900000000001
2004-12-01,Mar 2005,7.1421
2004-12-08,Mar 2005,7.182
2004-12-15,Mar 2005,7.4214
2004-12-22,Mar 2005,7.780500000000001
2004-12-29,Mar 2005,7.780500000000001
2005-01-05,Apr 2005,7.1022
2005-01-12,Apr 2005,7.261800000000001
2005-01-19,Apr 2005,7.182
2005-01-26,Apr 2005,7.7007
2005-02-02,May 2005,7.221900000000001
2005-02-09,May 2005,6.9426
2005-02-16,May 2005,7.341600000000001
2005-02-23,May 2005,7.5411
2005-03-02,Jun 2005,8.9775
2005-03-09,Jun 2005,9.0972
2005-03-16,Jun 2005,9.177
2005-03-23,Jun 2005,8.4987
2005-03-30,Jun 2005,7.620900000000001
2005-04-06,Jul 2005,8.618400000000001
2005-04-13,Jul 2005,8.4189
2005-04-20,Jul 2005,8.2992
2005-04-27,Jul 2005,8.1396
2005-05-04,Aug 2005,10.0947
2005-05-11,Aug 2005,10.334100000000001
2005-05-18,Aug 2005,10.2942
2005-05-25,Aug 2005,10.573500000000001
2005-06-01,Sep 2005,12.2493
2005-06-08,Sep 2005,12.8079
2005-06-15,Sep 2005,12.488700000000001
2005-06-22,Sep 2005,12.2094
2005-06-29,Sep 2005,12.369000000000002
2005-07-06,Oct 2005,13.1271
2005-07-13,Oct 2005,13.0473
2005-07-20,Oct 2005,13.526100000000001
2005-07-27,Oct 2005,13.406400000000001
2005-08-03,Nov 2005,10.9326
2005-08-10,Nov 2005,11.251800000000001
2005-08-17,Nov 2005,11.2119
2005-08-24,Nov 2005,11.331600000000002
2005-08-31,Nov 2005,13.685700000000002
2005-09-07,Dec 2005,12.9675
2005-09-14,Dec 2005,13.486200000000002
2005-09-21,Dec 2005,13.167
2005-09-28,Dec 2005,13.326600000000001
2005-10-05,Jan 2006,13.685700000000002
2005-10-12,Jan 2006,14.124600000000001
2005-10-19,Jan 2006,14.324100000000001
2005-10-26,Jan 2006,14.124600000000001
2005-11-02,Feb 2006,12.688200000000002
2005-11-09,Feb 2006,11.730600000000003
2005-11-16,Feb 2006,12.488700000000001
2005-11-23,Feb 2006,12.488700000000001
2005-11-30,Feb 2006,12.6483
2005-12-07,Mar 2006,12.768000000000002
