date,year,stage_memphis_ft,stage_greenville_ft,n_active,n_used,width_ft
2021-08-01,2021,5.67,27.59,50,5,1261.6399999999999
2021-08-02,2021,5.01,25.75,51,5,1232.8200000000002
2021-08-03,2021,4.99,24.35,52,5,1221.64
2021-08-04,2021,5.21,23.49,53,5,1213.42
2021-08-05,2021,5.55,23.23,53,5,1236.3400000000001
2021-08-06,2021,5.34,22.94,54,5,1213.42
2021-08-07,2021,4.3,22.95,55,5,1202.7599999999998
2021-08-08,2021,2.91,22.51,56,5,1193.1200000000001
2021-08-09,2021,1.76,21.65,57,5,1177.08
2021-08-10,2021,1.0,21.08,57,5,1159.56
2021-08-11,2021,0.77,20.12,58,5,1148.78
2021-08-12,2021,0.52,19.15,59,5,1092.98
2021-08-13,2021,0.08,18.64,59,5,1085.8200000000002
2021-08-14,2021,-0.23,17.77,59,5,1064.26
2021-08-15,2021,0.02,17.99,59,5,1064.26
2021-08-16,2021,0.32,17.99,60,5,1064.26
2021-08-17,2021,1.15,17.26,61,5,1062.48
2021-08-18,2021,1.59,16.89,61,5,1069.9
2021-08-19,2021,1.65,17.51,61,5,1078.84
2021-08-20,2021,1.97,18.52,62,5,1100.4
2021-08-21,2021,3.03,18.7,61,5,1134.3
2021-08-22,2021,5.03,18.97,61,5,1142.48
2021-08-23,2021,6.9,19.44,61,5,1158.2199999999998
2021-08-24,2021,8.61,20.39,61,5,1213.24
2021-08-25,2021,9.62,21.58,61,5,1252.8799999999999
2021-08-26,2021,9.78,23.06,61,5,1269.0600000000002
2021-08-27,2021,8.75,23.73,60,5,1287.3600000000001
2021-08-28,2021,6.75,23.88,60,5,1284.76
2021-08-29,2021,4.24,23.69,60,5,1280.8600000000001
2021-08-30,2021,2.36,22.32,60,5,1248.8399999999997
2021-08-31,2021,1.74,21.29,60,5,1230.52
2021-09-01,2021,1.82,20.41,60,5,1213.24
2021-09-02,2021,2.04,19.01,60,5,1158.2199999999998
2021-09-03,2021,2.91,18.15,60,5,1131.34
2021-09-04,2021,4.1,17.83,60,5,1131.34
2021-09-05,2021,5.49,18.5,60,5,1131.34
2021-09-06,2021,7.63,18.9,60,5,1158.2199999999998
2021-09-07,2021,9.88,20.14,60,5,1213.24
2021-09-08,2021,11.6,21.85,60,5,1252.8799999999999
2021-09-09,2021,12.02,23.59,60,5,1292.8799999999999
2021-09-10,2021,10.83,25.45,60,5,1303.3
2021-09-11,2021,9.03,25.69,60,5,1309.6799999999998
2021-09-12,2021,6.94,25.35,60,5,1298.1200000000001
2021-09-13,2021,4.82,24.38,60,5,1282.16
2021-09-14,2021,3.11,23.42,60,5,1262.56
2021-09-15,2021,1.64,21.81,60,5,1248.8399999999997
2021-09-16,2021,0.21,20.63,60,5,1228.52
2021-09-17,2021,-0.68,19.04,60,5,1158.2199999999998
2021-09-18,2021,-1.73,17.62,60,5,1131.34
2021-09-19,2021,-2.49,16.8,60,5,1117.22
2021-09-20,2021,-1.92,15.64,60,5,1105.5
2021-09-21,2021,-0.87,14.81,60,5,1093.44
2021-09-22,2021,-0.09,14.67,60,5,1093.44
2021-09-23,2021,0.98,15.16,60,5,1093.44
2021-09-24,2021,2.64,15.46,60,5,1093.44
2021-09-25,2021,4.76,16.28,60,5,1105.5
2021-09-26,2021,6.31,17.03,60,5,1117.22
2021-09-27,2021,7.2,18.31,60,5,1131.34
2021-09-28,2021,8.0,19.55,60,5,1213.24
2021-09-29,2021,8.31,20.58,60,5,1231.1
2021-09-30,2021,7.19,21.68,60,5,1252.8799999999999
2021-10-01,2021,5.1,21.85,60,5,1252.2199999999998
2021-10-02,2021,2.41,22.08,60,5,1248.8399999999997
2021-10-03,2021,0.29,21.08,60,5,1228.52
2021-10-04,2021,-0.61,19.48,60,5,1158.2199999999998
2021-10-05,2021,-1.13,17.97,60,5,1131.34
2021-10-06,2021,-2.01,16.4,60,5,1105.5
