date,year,survey_id,gage,stage_ft,width_ft,used_in_avg
2021-08-01,2021,LM_04_GGK_20210724_CS_3900_3870,Greenville,27.59,1005.5,True
2021-08-01,2021,LM_15_CVB_20210423_CS_6094_6056,Memphis,5.67,1225.0,True
2021-08-01,2021,LM_14_VBO_20210426_CS_5860_5824,Memphis,5.67,1289.2,True
2021-08-01,2021,LM_14_VBO_20210425_CS_5902_5862,Memphis,5.67,1364.5,True
2021-08-01,2021,LM_05_VGG_20210719_CS_4146_4098,Greenville,27.59,1424.0,True
2021-08-01,2021,LM_07_FMB_20210622_CS_4700_4530,Greenville,27.59,1486.4,False
2021-08-01,2021,LM_09_LPM_20210610_CS_5032_4998,Greenville,27.59,1492.3,False
2021-08-01,2021,LM_06_MBV_20210628_CS_4496_4450,Greenville,27.59,1519.2,False
2021-08-01,2021,LM_04_GGK_20210725_CS_3868_3820,Greenville,27.59,1520.6,False
2021-08-01,2021,LM_12_EYB_20210510_CS_5610_5586,Greenville,27.59,1604.2,False
2021-08-01,2021,LM_07_FMB_20210620_CS_4754_4724,Greenville,27.59,1664.4,False
2021-08-01,2021,LM_13_OZE_20210509_CS_5696_5658,Greenville,27.59,1686.6,False
2021-08-01,2021,LM_15_CVB_20210421_CS_6150_6128,Memphis,5.67,1717.0,False
2021-08-01,2021,LM_06_MBV_20210629_CS_54448_4414,Greenville,27.59,1736.4,False
2021-08-01,2021,LM_05_VGG_20210718_CS_4096_4076,Greenville,27.59,1746.5,False
2021-08-01,2021,LM_09_LPM_20210611_CS_4996_4958,Greenville,27.59,1752.5,False
2021-08-01,2021,LM_15_CVB_20210425_CS_6026_6000,Memphis,5.67,1790.4,False
2021-08-01,2021,LM_07_FMB_20210621_CS_4722_4702,Greenville,27.59,1809.0,False
2021-08-01,2021,LM_12_EYB_20210512_CS_5544_5502,Greenville,27.59,1813.5,False
2021-08-01,2021,LM_05_VGG_20210721_CS_4242_4188,Greenville,27.59,1827.0,False
2021-08-01,2021,LM_05_VGG_20210720_CS_4182_4148,Greenville,27.59,1863.4,False
2021-08-01,2021,LM_07_FMB_20210624_CS_4630_4584,Greenville,27.59,1889.5,False
2021-08-01,2021,LM_04_GGK_20210714_CS_4076_4046,Greenville,27.59,1893.1,False
2021-08-01,2021,LM_05_VGG_20210724_CS_4376_4336,Greenville,27.59,1928.7,False
2021-08-01,2021,LM_09_LPM_20210607_CS_5102_5068,Greenville,27.59,1934.8,False
2021-08-01,2021,LM_14_VBO_20210427_CS_5822_5810,Memphis,5.67,1942.4,False
2021-08-01,2021,LM_04_GGK_20210723_CS_3942_3902,Greenville,27.59,1950.5,False
2021-08-01,2021,LM_13_OZE_20210507_CS_5794_5748,Greenville,27.59,1996.7,False
2021-08-01,2021,LM_04_GGK_20210717_CS_4030_3978,Greenville,27.59,2027.6,False
2021-08-01,2021,LM_15_CVB_20210420_CS_6170_6152,Memphis,5.67,2030.2,False
2021-08-01,2021,LM_14_VBO_20210424_CS_5938_5904,Memphis,5.67,2067.3,False
2021-08-01,2021,LM_07_FMB_20210623_CS_4672_4548,Greenville,27.59,2070.8,False
2021-08-01,2021,LM_13_OZE_20210508_CS_5746_5698,Greenville,27.59,2102.9,False
2021-08-01,2021,LM_15_CVB_20210424_CS_6070_6028,Memphis,5.67,2266.2,False
2021-08-01,2021,LM_09_LPM_20210604_CS_5220_5178,Greenville,27.59,2296.7,False
