,ID
0,LM_08_MVF_20220411_CS_MB_4917_4913
1,LM_19_MEMX_20230830_CS_757_756_SORT_ACTUALDEPTHS
2,LM_15_CVB_20210611_CS
3,LM_05_VGG_20210720_CS_4182_4148
4,LM_07_FMB_20150729_CS_4594_4644
5,LM_07_FMB_20180709_CS_4530_4784
6,LM_10_SSL_20220602_CS_5264_5234
7,LM_05_VGG_20240806_CS_4326_4276
8,LM_08_MVF_20220604_CS_4958_4948
9,LM_15_CVB_20220326_CS_MB_5987_5972
10,LM_08_MVF_20150627_CS_4890_4916
11,LM_08_MVF_20220422_CS_MB_4898_4892
12,LM_07_FMB_20150722_CS_4780_4786
13,LM_15_CVB_20190302_CS_MB_6002_5998
14,LM_15_CVB_20150516_CS_MB_5980_5989
15,LM_19_MEMX_20230901_CS_739_745_SORT_LWRP
16,LM_04_GGK_20220713_CS_4020_3868
17,LM_06_MBV_20180808_CS_MB_4385_4390
18,LM_07_FMB_20190624_CS_MB_4700_4705
19,LM_14_VBO_20230521_CS_5938_5886
20,LM_24_CARX_20210711_CS_840_842_SORT_ACTUALDEPTH
21,LM_03_KGC_20220630_CS_3770_3754
22,LM_15_CVB_20150524_CS_MB_5938_5943
23,LM_10_SSL_20240702_CS_5368_5346
24,LM_15_CVB_20170418_CS_MB_59675_59725
25,LM_03_KGC_20240812_CS_3768_3708
26,LM_25_MADX_20211103_CS_902_899_LWRP
27,LM_05_VGG_20160822_CS_4162_4214
28,LM_13_OZE_20180430_CS_5810_5796
29,LM_14_VBO_20190222_CS_5810_5842
30,LM_01_GCB_20150907_CS_3200_3224
31,LM_04_GGK_20220714_CS_4050_3820
32,LM_19_MEMX_20230702_CS_739_745_SORT_ACTUALDEPTHS
33,LM_15_CVB_20200424_CS_6094_6146
34,LM_07_FMB_20160713_CS_MB_4718_4720
35,LM_15_CVB_20170421_CS_MB_59475_59525
36,LM_07_FMB_20230802_CS_4640_4590
37,LM_07_FMB_20230809_CS_4786_4724
38,LM_12_EYB_20160614_CS_5646_5658
39,LM_09_LPM_20210605_CS_5176_5148
40,LM_15_CVB_20170413_CS_MB_59975_60000
41,LM_16_OVLX_20210624_CS_607_604_SORT_LWRP
42,LM_07_FMB_20180813_CS_MB_4690_4695
43,LM_03_KGC_20150906_CS_3682_3702
44,LM_15_CVB_20200922_CS_5940_5970_SPECIAL
45,LM_10_SSL_20170608_CS
46,LM_11_YBS_20150610_CS_MB_5367_5368
47,LM_24_CARX_20210323_CS_870_866_MERIIWETHER_LWRP
48,LM_14_VBO_20220412_CS_5938_5906
49,LM_11_YBS_20160702_CS_MB_5333_5338
50,LM_08_MVF_20220409_CS_MB_4923_4917
51,LM_15_CVB_20150516_CS_MB_5976_5983
52,LM_15_CVB_20220325_CS_MB_5986_5982
53,LM_19_MEMX_20220908_CS_743_SORT_LWRP
54,LM_09_LPM_20190406_CS_5206_5224
55,LM_01_GCB_20220718_CS_3408_3226
56,LM_01_HBR_20240304_OT_5383_30
57,LM_07_FMB_20220614_CS_4560_4530
58,LM_11_YBS_20221007_CS
59,LM_08_MVF_20220518_CS_MB_4830_4820
60,LM_25_MADX_20211026_CS_902_898_SORT_LWRP
61,LM_09_LPM_20200527_CS_5018_5044
62,LM_06_MBV_20170718_CS_MB_43475_43525
63,LM_11_YBS_20180514_CS_5490_5502
64,LM_14_VBO_20210922_CS
65,LM_07_FMB_20160718_CS_MB_4693_4698
66,LM_19_MEMX_20220718_CS_739_746_SORT_ACTUALDEPTH
67,LM_07_FMB_20160715_CS_MB_4703_4708
68,LM_14_VBO_20240517_CS_5938_5904
69,LM_08_MVF_20230725_CS_4800_4786
70,LM_15_CVB_20160426_CS_MB_5993_5998
71,LM_07_FMB_20160729_CS_MB_4678_4683
72,LM_08_MVF_20210818_CS
73,LM_15_CVB_20220407_CS_6082_6036
74,LM_02_GCG_20190531_CS_3646_3660
75,LM_06_MBV_20180815_CS_MB_4355_4360
76,LM_01_GCB_20190612_CS_3304_3344
77,LM_07_FMB_20170717_CS
78,LM_15_CVB_20200428_CS_MB_5998_6000
79,LM_11_YBS_20200523_CS_5426_5484
80,LM_09_LPM_20170629_CS
81,LM_10_SSL_20230706_CS_5268_5234
82,LM_24_CARX_20210114_CS_870_866_MERRIWETHER_LWRP
83,LM_15_CVB_20160514_CS_6000_6028
84,LM_04_GGK_20160820_CS_3858_3908
85,LM_09_LPM_20150610_CS_5172_5194
86,LM_19_MEMX_20220901_CS_756_SORT_LWRP
87,LM_04_GGK_20150827_CS_3820_3860
88,LM_15_CVB_20170413_CS
89,LM_07_FMB_20190410_CS_4530_4552
90,LM_07_FMB_20150708_CS_MB_4718_4723
91,LM_02_GCG_20210803_CS_3504_3468
92,LM_11_YBS_20160705_CS_5451_5502
93,LM_07_FMB_20210620_CS_4754_4724
94,LM_08_MVF_20160727_CS_4820_4842
95,LM_01_GCB_20210820_CS_3454_3388
96,LM_14_VBO_20200430_CS_5902_5938
97,LM_12_EYB_20220429_CS_5584_5566
98,LM_08_MVF_20220405_CS_MB_4947_4942
99,LM_25_MADX_20220822_CS_902_899_SORT_LWRP
100,LM_11_YBS_20230630_CS_5382_5368
101,LM_15_CVB_20240604_CS_MB_5973_5968
102,LM_19_MEMX_20220708_CS_755_757_SORT_LWRP
103,LM_15_CVB_20190305_CS_MB_5983_5978
104,LM_11_YBS_20150613_CS_MB_5353_5358
105,LM_15_CVB_20160427_CS_MB_5983_5988
106,LM_05_VGG_20190504_CS_4144_4196
107,LM_15_CVB_20220327_CS_MB_5972_5967
108,LM_04_GGK_20160821_CS_3820_3856
109,LM_08_MVF_20170630_CS_MB_48675_48725
110,LM_10_SSL_20160627_CS_5234_5252
111,LM_15_CVB_20200501_CS_MB_5983_5988
112,LM_07_FMB_20190404_CS_4634_4676
113,LM_15_CVB_20220201_CS
114,LM_15_CVB_20200502_CS_MB_5973_5978
115,LM_15_CVB_20220325_CS_6170_615
116,LM_14_VBO_20170503_CS
117,LM_08_MVF_20220509_CS_MB_4845_4840
118,LM_10_SSL_20221004_CS
119,LM_22_RANX_20230722_CS_771_769_SORT_LWRP
120,LM_04_GGK_20230823_CS_4076_4012
121,LM_04_GGK_20170806_CS
122,LM_11_YBS_20160701_CS_MB_5338_5343
123,LM_12_EYB_20240605_CS_5636_5590
124,LM_15_CVB_20180804_CS_MB_5955_5960
125,LM_12_EYB_20150501_CS_5592_5636
126,LM_06_MBV_20150812_CS_MB_4382_4387
127,LM_07_FMB_20170713_CS_MB_46825_46875
128,LM_15_CVB_20200502_CS_MB_5958_5963
129,LM_07_FMB_20150724_CS_4668_4676
130,LM_19_MEMX_20211018_CS_737_735_SORT_LWRP
131,LM_12_EYB_20160623_CS_5576_5614
132,LM_06_MBV_20190719_CS_MB_4360_4365
133,LM_05_VGG_20150821_CS_4276_4350
134,LM_15_CVB_20160503_CS_MB_5938_5943
135,LM_08_MVF_20220407_CS_MB_4932_4927
136,LM_03_KGC_20220701_CS_3752_3742
137,LM_08_MVF_20180822_CS_MB_4850_4855
138,LM_13_OZE_20150422_CS_5794_5810
139,LM_11_YBS_20160707_CS_MB_5290_5293
