date,corn_dec_futures,soy_nov_futures
2005-09-30,2.055,5.7325
2006-09-22,2.5525,5.4925
2006-09-29,2.625,5.475
2006-10-06,2.71,5.64
2006-10-13,3.145,5.915
2006-10-20,3.1275,6.065
2006-10-27,3.325,6.355
2006-11-03,3.4225,6.6275
2006-11-10,3.4325,6.625
2006-11-17,3.5525,6.605
2006-11-24,3.6925,6.845
2007-08-31,3.4,8.825
2007-09-07,3.475,9.0525
2007-09-14,3.49,9.5475
2007-09-21,3.765,9.79
2007-09-28,3.73,9.9125
2007-10-05,3.4225,9.405
2007-10-12,3.51,9.7675
2007-10-19,3.7025,9.8325
2007-10-26,3.72,9.955
2007-11-02,3.77,10.0175
2007-11-09,3.8675,10.56
2007-11-16,3.795,10.7775
2007-11-23,3.89,11.0025
2008-09-05,5.485,11.77
2008-09-12,5.6325,12.02
2008-09-19,5.4225,11.435
2008-09-26,5.43,11.64
2008-10-03,4.54,9.92
2008-10-10,4.54,9.92
2008-10-17,4.03,8.94
2008-10-24,3.7275,8.6375
2008-10-31,4.015,9.2525
2008-11-07,3.755,9.21
2008-11-14,3.8025,8.96
2008-11-21,3.85,8.4
2008-11-28,3.54,8.86
2009-08-28,3.29,10.11
2009-09-04,3.0625,9.22
2009-09-11,3.1975,9.03
2009-09-18,3.18,9.41
2009-09-25,3.34,9.26
2009-10-02,3.335,8.85
2009-10-09,3.6225,9.64
2009-10-16,3.72,9.775
2009-10-23,3.9775,10.06
2009-10-30,3.66,9.78
2009-11-06,3.67,9.55
2009-11-13,3.905,9.87
2009-11-20,3.91,10.46
2009-11-27,3.9725,10.53
2010-09-03,4.645,10.35
2010-09-10,4.7825,10.31
2010-09-17,5.13,10.69
2010-09-24,5.2175,11.26
2010-10-01,4.6575,10.57
2010-10-08,5.2825,11.35
2010-10-15,5.63,11.85
2010-10-22,5.5975,11.975
2010-10-29,5.82,12.26
2010-11-05,5.8775,12.84
2010-11-12,5.34,12.69
2010-11-19,5.2075,12.015
2010-11-26,5.3825,12.385
2011-09-02,7.6,14.4575
2011-09-09,7.365,14.2675
2011-09-16,6.92,13.555
2011-09-23,6.385,12.58
2011-09-30,5.925,11.79
2011-10-07,6.0,11.5825
2011-10-14,6.4,12.7
2011-10-21,6.4925,12.1225
2011-10-28,6.55,12.17
2011-11-04,6.5575,12.21
2011-11-11,6.385,11.755
2011-11-18,6.1025,11.6825
2011-11-25,5.825,11.065
2012-08-31,7.9975,17.565
2012-09-07,7.995,17.365
2012-09-14,7.82,17.39
2012-09-21,7.485,16.2175
2012-09-28,7.5625,16.01
2012-10-05,7.48,15.515
2012-10-12,7.5275,15.225
2012-10-19,7.615,15.3425
2012-10-26,,
2012-11-02,7.395,15.2675
2012-11-09,7.18,14.05
2012-11-16,7.27,13.8325
2012-11-23,7.455,14.1875
2013-09-06,4.685,13.6775
2013-09-13,4.59,13.845
2013-09-20,4.51,13.1625
2013-09-27,4.54,13.1975
2013-10-04,,
2013-10-11,,
2013-10-18,4.415,12.9125
2013-10-25,4.4,13.0
2013-11-01,4.2725,12.515
2013-11-08,4.2675,12.96
2013-11-15,4.22,12.805
2013-11-22,4.225,13.195
2013-11-29,,
2013-12-06,4.3425,13.255
2014-09-12,3.385,9.8525
2014-09-19,3.315,9.57
2014-09-26,3.23,9.1025
2014-10-03,3.2325,9.1225
2014-10-10,3.34,9.225
2014-10-17,3.48,9.5775
2014-10-24,3.53,9.775
2014-10-31,3.7675,10.465
2014-11-07,3.675,10.3675
2014-11-14,3.8175,10.225
2014-11-21,3.7275,10.39
2014-11-28,,
2015-09-04,3.63,8.665
2015-09-11,3.87,8.8425
2015-09-18,3.7725,8.6725
2015-09-25,3.89,8.8925
2015-10-02,3.8925,8.7425
2015-10-09,3.8275,8.8575
2015-10-16,3.7675,8.9825
2015-10-23,3.7975,8.955
2015-10-30,3.8225,8.8375
2015-11-06,3.73,8.6725
2015-11-13,3.5825,8.5525
2015-11-20,3.6325,8.575
2015-11-27,,
2016-09-02,3.285,9.525
2016-09-09,3.41,9.8025
2016-09-16,3.37,9.66
2016-09-23,3.365,9.55
2016-09-30,3.3675,9.54
2016-10-07,3.3975,9.5675
2016-10-14,3.5425,9.625
2016-10-21,3.525,9.83
2016-10-28,3.55,10.0125
2016-11-04,3.4875,9.9075
2016-11-10,3.435,9.98
2016-11-18,3.455,9.93375
2016-11-23,3.5075,10.3425
2017-09-15,3.5475,9.6875
2017-09-22,3.535,9.8425
2017-09-29,3.5525,9.6825
2017-10-06,3.5,9.7225
2017-10-13,3.5275,10.0025
2017-10-20,3.445,9.7875
2017-10-27,3.4875,9.7525
2017-11-03,3.4825,9.8675
2017-11-10,3.415,9.85
2017-11-17,3.43,9.905
2017-11-24,,
2018-09-07,3.67,8.44
2018-09-14,3.5175,8.305
2018-09-21,3.5725,8.4725
2018-09-28,3.5625,8.455
2018-10-05,3.6825,8.69
2018-10-12,3.7375,8.675
2018-10-19,3.67,8.5675
2018-10-26,3.6775,8.45
2018-11-02,3.7125,8.8775
2018-11-09,3.6975,8.8675
2018-11-16,3.6475,8.9225
2018-11-23,,
2018-11-30,3.665,8.9475
2019-08-09,4.136,8.846
2019-08-16,3.746,8.726
2019-08-23,3.702,8.694
2019-08-30,3.68,8.64
2019-09-06,3.55,8.554
2019-09-13,3.69,8.952
2019-09-20,3.74,8.954
2019-09-27,3.716,8.91
2019-10-04,3.856,9.152
2019-10-11,3.944,9.36
2019-10-18,3.922,9.384
2019-10-25,3.84,9.224
2019-11-01,3.856,9.364
2019-11-08,3.73,9.16
2019-11-15,3.714,9.192
2020-07-10,3.36,8.832
2020-07-17,3.364,8.992
2020-07-24,3.352,9.004
2020-07-27,3.345,8.9975
2020-07-28,3.3,8.875
2020-07-29,3.2625,8.852500000000001
2020-07-30,3.2675,8.8825
2020-07-31,3.272,8.974
2020-08-03,3.285,8.9625
2020-08-04,3.2025,8.8175
2020-08-05,3.2325,8.7875
2020-08-06,3.2375,8.78
2020-08-07,3.21,8.66
2020-08-10,3.23,8.7325
2020-08-11,3.235,8.735
2020-08-12,3.2725,8.83
2020-08-13,3.3875,8.995
2020-08-14,3.376,8.98
2020-08-17,3.4475,9.1525
2020-08-18,3.4175,9.1375
2020-08-19,3.3975,9.14
2020-08-20,3.3925,9.0525
2020-08-21,3.41,9.036
2020-08-24,3.45,9.0575
2020-08-25,3.545,9.2025
2020-08-26,3.5425,9.2425
2020-08-27,3.585,9.42
2020-08-28,3.6,9.52
2020-08-31,3.5715625,9.535
2020-09-01,3.57675,9.5475
2020-09-02,3.5875,9.62
2020-09-03,3.5375,9.66
2020-09-04,3.572,9.69
2020-09-08,3.6175,9.73
2020-09-09,3.6025,9.7875
2020-09-10,3.65,9.775
2020-09-11,3.702,9.994
2020-09-14,3.695,9.995
2020-09-15,3.66,9.915
2020-09-16,3.7175,10.1125
2020-09-17,3.7525,10.285
2020-09-18,3.76,10.394
2020-09-21,3.6975,10.225
2020-09-22,3.6925,10.1975
2020-09-23,3.685,10.145
2020-09-24,3.635,10.0
2020-09-25,3.63,10.036
2020-09-28,3.6675,9.9625
2020-09-29,3.6475,9.93
2020-09-30,3.79,10.235
2020-10-01,3.8275,10.235
2020-10-02,3.802,10.216
2020-10-05,3.795,10.215
2020-10-06,3.85,10.44
2020-10-07,3.8875,10.51
2020-10-08,3.87,10.5
2020-10-09,3.964,10.612
2020-10-13,3.9125,10.44
2020-10-14,3.965,10.5625
2020-10-15,4.0375,10.6225
2020-10-16,4.06,10.564
2020-10-19,4.0525,10.5425
2020-10-20,4.0875,10.64
2020-10-21,4.1375,10.72
2020-10-22,4.1625,10.7375
2020-10-23,4.17,10.512
2020-10-26,4.1775,10.8775
2020-10-27,4.16,10.8225
2020-10-28,4.015,10.5725
2020-10-29,3.985,10.5175
2020-10-30,3.93,10.47
2020-11-02,3.975,10.5075
2020-11-03,4.01,10.59
2020-11-04,4.0525,10.79
2020-11-05,4.0925,11.0175
2020-11-06,4.154,11.164
2020-11-09,4.075,11.05
2020-11-10,4.23,11.3825
2020-11-12,4.0825000000000005,11.37
2020-11-13,4.105,11.415
2020-11-16,4.1625,
2020-11-17,4.2025,
2020-11-18,4.2575,
2020-11-19,4.225,
2020-11-20,4.2325,
2020-11-23,4.265,
2020-11-24,4.257499999999999,
2020-11-25,4.2,
2020-11-30,4.1975,
2021-01-04,4.345,11.2075
2021-01-05,4.385,11.4125
2021-01-06,4.4125,11.5325
2021-01-07,4.41,11.53
2021-01-08,4.404999999999999,11.6175
2021-01-11,4.407500000000001,11.55
2021-01-12,4.574999999999999,11.765
2021-01-13,4.532500000000001,11.76
2021-01-14,4.577500000000001,11.965
2021-01-15,4.6000000000000005,11.9775
2021-01-19,4.550000000000001,11.8875
2021-01-20,4.489999999999999,11.7175
2021-01-21,4.487500000000001,11.685
2021-01-22,4.3025,11.12
2021-01-25,4.3475,11.3025
2021-01-26,4.445,11.485
2021-01-27,4.425000000000001,11.4925
2021-01-28,4.387499999999999,11.3125
