date_time_published_gmt,message_id,categories,mile_markers,river_name,mile_marker_min,mile_marker_max,geographic_area,originator,criticality,notes
2026-05-04 10:16:57,SEC LMR BNM 0029-26,dredging,MM 125.4 ARK;MM 155.9,ARKANSAS,125.4,125.4,ARKANSAS RIVER,Lower Mississippi,SAFETY,"1.Mariners may experience intermittent delays at Murray Lock (No. 7) MM 125.4 ARK and Toad Suck Lock (No. 8) MM 155.9 on May 4th, 2026 through June 15th, 2026 between the hours of 7:00 a.m. and 5:30 p.m. daily.2.The intermittent delays are required to facilitate dredging and dive inspections in preparation of the 110' stoplog conversions.3.Questions or requests for additional information concerning this notice should be directed to the Little Rock District Office, at (501) 324-5096 or you may email CESWL-OP-OM@usace.army.mil. BT"
2026-05-18 12:38:22,SEC LMR BNM 0032-26,shoaling,MM 777.7,MISSISSIPPI-LO,777.7,777.7,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,LMR MM 777.71. COAST GUARD RECEIVED A REPORT OF SHOALING AT MM 777.7 LMR2. MARINERS ARE ADVISED TO PROCEED WITH CAUTION BT
2026-06-13 21:22:26,SEC LMR BNM 0039-26,dredging,,,,,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"1.DREDGE MIDWAY WILL BE WORKING AT THE MOUTH OF MCKELLAR LAKE, FROM JUNE 15TH THROUGH 22ND. THE CHANNEL WILL BE BLOCKED DURING OPERATIONS. 2.TRAFFIC WILL BE PERMITTED TO PASS DAILY FROM NOON TO 1PM AND MIDNIGHT TO 1AM. 3.DREDGE MIDWAY CAN BE CONTACTED ON VHF CHANNEL 13 OR 71. 4.CANCEL AT TIME//221200 FEB 26//. BT"
2026-06-17 08:55:23,CGD-H BNM 0069-26,shoaling,,,,,"TX, LA - GULF OF AMERICA",D8,SAFETY,"WITH THE APPROACH OF POTENTIAL TROPICAL CYCLONE ONE, AIDS TO NAVIGATION AND STRUCTURES IN THE GULF OF AMERICA AND SURROUNDING WATERS MAY BE DAMAGED OR DESTROYED. LIGHTED AND UNLIGHTED BUOYS MAY MOVE FROM ASSIGNED POSITIONS, SINK, BE DAMAGED, EXTINGUISHED, OR MADE INOPERATIVE. MARINERS SHOULD NOT RELY UPON THE POSITION OR OPERATION OF AN AID TO NAVIGATION IN AFFECTED AREAS, AND SHOULD EMPLOY OTHER METHODS FOR DETERMINING POSITION. WRECKS AND SUBMERGED OBSTRUCTIONS MAY MOVE FROM CHARTED LOCATIONS AND PIPELINES MAY BECOME UNCOVERED OR MOVE DUE TO STORM SURGES. STORM SURGE AND WINDS MAY CREATE SHOALS IN AFFECTED WATERS. DRAWBRIDGES MAY DEVIATE FROM NORMAL OPERATING PROCEDURES AND MAY BE UNABLE TO OPEN DUE TO HIGH WINDS OR TO FACILITATE EVACUATION OF LAND TRAFFIC. MARINERS SHOULD ANTICIPATE BRIDGE CLOSURES BY LISTENING TO THE NATIONAL WEATHER SERVICE AND COAST GUARD BROADCASTS ON TROPICAL STORM CONDITIONS. LOCKS AND NAVIGATION STRUCTURES WILL PASS NAVIGATION UNTIL WATER LEVELS AND WIND CONDITIONS WARRANT OPERATIONS UNSAFE. THE STRUCTURES WILL THEN CLOSE IN ACCORDANCE WITH HURRICANE PROCEDURES. MARINERS WILL BE GIVEN AS MUCH NOTICE AS POSSIBLE WHEN STRUCTURES ARE TOO CLOSE; HOWEVER, STRUCTURES MAY CLOSE ON SHORT NOTICE OR WELL IN ADVANCE OF THE ACTUAL STORM. DUE TO THE UNCERTAINTY REGARDING TROPICAL STORM MOVEMENTS AND BRIDGE AND STRUCTURE CLOSURES, MARINERS SHOULD SEEK PASSAGE AND SAFE HARBOR AS SOON AS POSSIBLE AND WELL IN ADVANCE OF THE ARRIVAL OF GALE FORCE WINDS.CANCEL AT//181700Z JUN 26// BT"
2026-03-12 10:59:56,SEC LMR BNM 0018-26,shoaling,MM 348.7 ARK,ARKANSAS,348.7,348.7,ARK,Lower Mississippi,SAFETY,UNCLASSUBJ: SAFETY BROADCAST NOTICE TO MARINERSSEC LMR BNM 0018ARK 348.71.WRCC received notification of possible shoaling at MM 348.7 ARK mid channel.2. All mariners are advised to transit the area with caution. BT
2026-04-07 11:38:40,SEC LMR BNM 0021-26,shoaling,MM 686 LMR,MISSISSIPPI-LO,686.0,686.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,1. SHOALING HAS BEEN REPORTED ALONG THE RDB AT MM 686 LMR.2. MARINERS ARE ADVISED TO MAINTAIN A SAFE DISTANCE FROM THE BUOY LINE AND TRANSIT THE AREA WITH CAUTION. BT
2025-12-17 16:47:03,SEC LMR BNM 0115-25,shoaling,MM 237.1-237.8;MM 237.1,ARKANSAS,237.1,237.8,LMR,Lower Mississippi,SAFETY,ARK MM 237.1-237.81. SHOALING HAS BEEN REPORTED ON THE ARKANSAS RIVER BETWEEN MM 237.1 AND 237.8.2. MARINERS ARE ADVISED TO FAVOR THE RED BUOY LINE THROUGH THIS AREA.BT
2025-12-18 13:43:54,SEC LMR BNM 0115-25 UPDATE-1,shoaling,MM 237.1-237.8;MM 237.1,ARKANSAS,237.1,237.8,LMR,Lower Mississippi,UPDATE,ARK MM 237.1-237.81. SHOALING HAS BEEN REPORTED ON THE ARKANSAS RIVER BETWEEN MM 237.1 AND 237.8.2. MARINERS ARE ADVISED TO FAVOR THE RED BUOY LINE THROUGH THIS AREA.BT#0001NNNN BT
2026-01-11 20:52:27,SEC LMR BNM 0106-26,draft restriction,MM 303-869;MM 869-303,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"LMR MM 303-869Mariners be advised of MSIB 26-02 which updates low-water restrictions on January 12th, 2026, for MM 303-869 on the LMR. They are as follows:For Southbound traffic MM 869-303:â€¢ Barge drafts shall not exceed 11'6"".â€¢ Barge configurations shall not exceed 7 wide.For Northbound traffic MM 869-303:â€¢ Barge drafts shall not exceed 10'6"".â€¢ Barge configurations shall not exceed 4 wide max on loads, 6 wide overall.â€¢ Barge configurations shall not exceed 7 long overall.BT"
2026-01-15 12:14:13,SEC LMR BNM 0003-26,draft restriction,MM 303-869;MM 869-303,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"Mariners be advised of MSIB 26-03 which updates low-water restrictions on January 15th, 2026, for MM 303-869 on the LMR. They are as follows:For Southbound traffic MM 869-303:â€¢ Barge drafts not to exceed 11'6"".â€¢ Barge configurations not to exceed 7 wide.For Northbound traffic MM 869-303:â€¢ Barge drafts shall not exceed 10'6"".â€¢ Barge configurations not to exceed 5 wide max on loads, 7 wide overall.â€¢ Barge configurations not to exceed 7 long overall BT"
