confirmed,memo_name,date,mm1,mm2,river,location_description,memo
Y,SEC LMR BNM 196-21,6/11/2021 13:31,667,666.4,LMR,,1. THE CG RCVD A RPT OF SHOALING IVO MM 667-666.4 LMR. ALL MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION.
Y,SEC LMR BNM 215-21,7/18/2021 15:31,595,,LMR,,SUBJ:SAFETY BROADCAST NOTICE TO MARINERS SEC UMR BNM 215-21 LM MM 595 LOWER MISSISSIPPI RIVER  1. THE CG RCVD A REPORT OF SHOALING IVO MM 595 LMR. MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION.   CANCEL AT TIME //011917Z AUG 21//
Y,SEC LMR BNM 250-21,9/23/2021 10:27,482.6,,LMR,"LDB, inside the channel",SUBJ: LOWER MISSISSIPPI RIVER BNM NR 0250-21 LM LOWER MISSISSIPPI RIVER A. THE CG RCVD A RPT OF SHOALING IVO MM 482.6 LMR LDB INSIDE THE CHANNEL. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.
Y,SEC LMR BNM 254-21,9/26/2021 11:43,437.5,,LMR,"RDB, mid channel","THE COAST GUARD HAS RECEIVED A REPORT OF SHOALING MID-CHANNEL IVO DELTA POINT, MM 437.5 RDB LMR. MARINERS ARE ADVISED TO FAVOR THE LEFT DESCENDING BANK AND ARE URGED TO EXERCISE CAUTION WHILE TRANSITING THE AREA.   CANCEL AT TIME //101229Z OCT 21//"
Y,SEC LMR BNM 261-21,10/5/2021 17:24,770.8,,LMR,"RDB, Randolph Dikes","SEC LMR BNM 261-21 MM 770.8 LMR  1. THE COAST GUARD HAS RECEIVED A REPORT OF SHOALING IVO RANDOLPH DIKES, MM 770.8 RDB LMR CAUSING A REDUCED CHANNEL WIDTH   2. MARINERS ARE ADVISED TO FAVOR THE LEFT DESCENDING BANK AND ARE URGED TO EXERCISE CAUTION WHILE TRANSITING THE AREA.       CANCEL AT TIME //152045Z OCT 21 //"
Y,SEC LMR BNM 263-21,10/6/2021 17:08,756,756.2,LMR,LDB,"SUBJ: LOWER MISSISSIPPI RIVER BNM NR 0263-21 LM SAFETY AND SCHEDULED BROADCASTS UNTIL CANCELLED    MM 756 LMR    1. THE U.S. COAST GUARD CAPTAIN OF THE PORT LOWER MISSISSIPPI RIVER IS ISSUING A SAFETY ADVISORY FOR SHOALING ON THE LOWER MISSISSIPPI RIVER FROM MM 756.0 TO MM 756.2 LEFT DESCENDING BANK AND MM 756.4 TO MM 756.6 MIDDLE CHANNEL  2. MARINERS SHOULD TRANSIT WITH EXTREME CAUTION, AND ARE ADVISED THAT US ARMY CORPS OF ENGINEERS MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES. 3. MARINERS ARE REQUESTED TO CONTACT WESTERN RIVERS COMMAND CENTER VIA MARINE VHF-FM CH-16 OR VIA TELEPHONE AT 866-777-2784 TO REPORT SHOALING, HAZARDOUS CONDITIONS, OR MISSING ATON.       CANCEL AT TIME //202034Z OCT 21//"
Y,SEC LMR BNM 263-21,10/6/2021 17:08,756.4,,LMR,mid channel ,"SUBJ: LOWER MISSISSIPPI RIVER BNM NR 0263-21 LM SAFETY AND SCHEDULED BROADCASTS UNTIL CANCELLED    MM 756 LMR    1. THE U.S. COAST GUARD CAPTAIN OF THE PORT LOWER MISSISSIPPI RIVER IS ISSUING A SAFETY ADVISORY FOR SHOALING ON THE LOWER MISSISSIPPI RIVER FROM MM 756.0 TO MM 756.2 LEFT DESCENDING BANK AND MM 756.4 TO MM 756.6 MIDDLE CHANNEL  2. MARINERS SHOULD TRANSIT WITH EXTREME CAUTION, AND ARE ADVISED THAT US ARMY CORPS OF ENGINEERS MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES. 3. MARINERS ARE REQUESTED TO CONTACT WESTERN RIVERS COMMAND CENTER VIA MARINE VHF-FM CH-16 OR VIA TELEPHONE AT 866-777-2784 TO REPORT SHOALING, HAZARDOUS CONDITIONS, OR MISSING ATON.       CANCEL AT TIME //202034Z OCT 21//"
Y,SEC LMR BNM 268-21,10/13/2021 21:00,483,,LMR,mid channel ,SUBJ: LOWER MISSISSIPPI RIVER BNM NR 0268-21 LM SAFETY AND SCHEDULED BROADCASTS UNTIL CANCELLED LOWER MISSISSIPPI RIVER  A. THE CG RCVD A REPORT OF SHOALING MID CHANNEL IVO MM 483 LMR. ALL MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.    CANCEL AT TIME //272216Z OCT 21//
Y,SEC LMR BNM 271-21,10/25/2021 14:36,650.5,,LMR,LDB,"SUBJ: SAFETY BROADCAST NOTICE TO MARINERS SEC LMR BNM 271-21 LOWER MISSISSIPPI RIVER MM 650.5 1. MARINERS ARE ADVISED THAT SHOALING HAS BEEN REPORTED AT MM 650.5 LDB LMR INSIDE THE MARKED CHANNEL. 2. MARINERS ARE URGED TO TRANSIT THE AREA WITH CAUTION AT THEIR SLOWEST SAFE SPEED AND TO FAVOR THE RIGHT DESCENDING BANK TO AVOID THE SHOALING. 4. MARINERS ARE ASKED TO CONTACT WESTERN RIVERS COMMAND CENTER VIA VHF-FM CH-16 OR VIA TELEPHONE AT 866-777-2784 TO REPORT SHOALING, HAZARDOUS CONDITIONS, OR MISSING ATON.   CANCEL AT TIME //081616Z NOV 21//"
Y,SEC LMR BNM 277-21,11/22/2021 10:49,717,,LMR,"LDB, not in channel ",SUBJ: LOWER MISSISSIPPI RIVER BNM NR 0277-21 LMSAFETY AND SCHEDULED BROADCASTS UNTIL CANCELLEDCANCEL LOWER MISSISSIPPI RIVER BNM NR 0276-21 LOWER MISSISSIPPI RIVER   A. CG RECEIVED A REPORT OF SHOALING NOT IN THE NAVIGATION CHANNEL IVO MM 717 LMR LDB.    B. MY P 172139Z NOV 21 BNM 0276-21   1. CANCEL REF B.    CANCEL AT TIME //031900Z DEC 21//
Y,SEC LMR BNM 283-21,11/30/2021 16:33,485.9,486.9,LMR,"Lake Providence, channel is estimates 600ft wide","SUBJ: LOWER MISSISSIPPI RIVER BNM NR 0283-21 LM SAFETY AND SCHEDULED BROADCASTS UNTIL CANCELLED LOWER MISSISSIPPI RIVER A. THE COAST GUARD HAS RECEIVED A REPORT OF SHOALING IVO LAKE PROVIDENCE, BETWEEN MM 485.9 AND MM 486.9 LMR, CAUSING A REDUCED CHANNEL WIDTH. MARINERS ARE ADVISED THAT THE CHANNEL IS REPORTED TO BE 600 FT WIDE AT MM 485.5 LMR, AND ARE URGED TO EXERCISE CAUTION WHILE TRANSITING THE AREA.    CANCEL AT TIME //142125Z DEC 21//"
Y,SEC LMR BNM 0285-21,12/2/2021 8:07,868.3,,LMR,RDB,A. THE CG RECEIVED A REPORT OF SHOALING IVO MM 868.3 LMR RDB. MARINERS ARE URGED TO EXCERSIZE CAUTION WHILE TRANSITING THE AREA.   CANCEL AT TIME //161227Z DEC 21//
Y,SEC LMR BNM 0286-21,12/2/2021 12:14,524.9,525.3,LMR,"Near Lakeport Revetment, channel is estimatd 900ft wide","A. THE COAST GUARD HAS RECEIVED A REPORT OF SHOALING IVO LAKEPORT REVETMENT, BETWEEN MM 524.9 AND MM 525.3 LMR. CHANNEL IS REPORTED TO BE APPROXIMATELY 900 FT WIDE.     B. MARINERS ARE URGED TO EXERCISE CAUTION WHILE TRANSITING THE AREA."
Y,SEC LMR BNM 291-21,12/7/2021 14:06,356.2,,LMR,LDB,"Send to following Sector topics: Sec Lower Mississippi River, USDHSCG_416   A. COAST GUARD RECIEVED A REPORT OF SHOALING AT MM 356.2 LMR LDB. ALL MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.    CANCEL AT TIME //211409Z DEC 21//"
Y,SEC LMR BNM 0008-22,2/3/2022 11:46,546.4,,LMR,RDB,THE COAST GUARD RCVD A REPORT OF SHOALING IVO MM 546.4 LMR OFF THE GREEN BUOY LINE.   ALL MARINERS ARE ADVISE TO TRANSIT THE AREA WITH CAUTION.   CANCEL AT TIME //171637Z FEB 22//
