file,flipped_at
LM_01_GCB_20220716_CS_3206_3200_SurveyPoint.gpkg,2026-08-26T15:38:40.485666+00:00
LM_02_GCG_20220715_CS_3660_3634_SurveyPoint.gpkg,2026-08-26T15:39:02.636975+00:00
LM_01_GCB_20250714_CS_MB_3263_3258_SurveyPoint.gpkg,2026-08-26T16:52:16.814746+00:00
LM_01_GCB_20250714_CS_MB_3268_3263_SurveyPoint.gpkg,2026-08-26T16:55:05.687848+00:00
LM_01_GCB_20250714_CS_MB_3273_3268_SurveyPoint.gpkg,2026-08-26T16:56:35.185158+00:00
LM_01_GCB_20250715_CS_MB_3278_3273_SurveyPoint.gpkg,2026-08-26T16:59:10.228259+00:00
LM_03_KGC_20250719_CS_3720_3694_SurveyPoint.gpkg,2026-08-26T18:52:15.975807+00:00
LM_01_GCB_20250723_CS_MB_3313_3308_SurveyPoint.gpkg,2026-08-26T19:42:50.893772+00:00
LM_02_GCG_20240815_CS_3660_3624_SurveyPoint.gpkg,2026-08-27T00:33:14.162270+00:00
LM_02_GCG_20240816_CS_3624_3612_SurveyPoint.gpkg,2026-08-27T00:33:23.823120+00:00
LM_01_GCB_20230908_CS_3454_3420_SurveyPoint.gpkg,2026-08-27T02:37:05.664255+00:00
LM_01_GCB_20230914_CS_3326_3282_SurveyPoint.gpkg,2026-08-27T02:37:36.623337+00:00
LM_01_GCB_20230919_CS_3280_3242_SurveyPoint.gpkg,2026-08-27T02:37:40.050320+00:00
LM_01_GCB_20230920_CS_3240_3200_SurveyPoint.gpkg,2026-08-27T02:37:43.648304+00:00
LM_02_GCG_20230902_CS_3640_3622_SurveyPoint.gpkg,2026-08-27T02:37:48.183232+00:00
LM_03_KGC_20230826_CS_3729_3690_SurveyPoint.gpkg,2026-08-27T02:38:52.720553+00:00
LM_01_GCB_20220717_CS_3454_3208_SurveyPoint.gpkg,2026-08-29T22:24:35.941454+00:00
LM_01_GCB_20220720_CS_3306_3266_SurveyPoint.gpkg,2026-08-29T22:24:43.520651+00:00
LM_03_KGC_20220707_CS_3700_3660_SurveyPoint.gpkg,2026-08-29T22:25:49.230648+00:00
LM_01_GCB_20250715_CS_MB_3288_3283_SurveyPoint.gpkg,2026-09-04T18:26:38.093037+00:00
LM_01_GCB_20260607_CS_3454_3414_SurveyPoint.gpkg,2026-09-20T23:44:35.706697+00:00
LM_01_GCB_20150907_CS_3200_3224,2026-09-21T19:34:41.993076+00:00
LM_01_GCB_20150909_CS_3414_3454,2026-09-21T19:38:51.619398+00:00
LM_01_GCB_20150910_CS_3282_3412,2026-09-21T19:39:19.621097+00:00
LM_01_GCB_20160901_CS_3200_3214,2026-09-21T19:39:24.969505+00:00
LM_01_GCB_20160902_CS_3200_3454,2026-09-21T19:39:45.861110+00:00
LM_01_GCB_20160903_CS_3258_3312,2026-09-21T19:40:00.649967+00:00
LM_01_GCB_20160904_CS_3314_3454,2026-09-21T19:40:06.059096+00:00
LM_01_GCB_20160905_CS_3200_3454,2026-09-21T19:40:09.414123+00:00
LM_01_GCB_20170815_CS,2026-09-21T19:40:15.316850+00:00
LM_01_GCB_20170816_CS,2026-09-21T19:40:19.442281+00:00
LM_01_GCB_20170817_CS,2026-09-21T19:40:25.212491+00:00
LM_01_GCB_20170818_CS,2026-09-21T19:40:30.002631+00:00
LM_01_GCB_20180909_CS_3200_3454,2026-09-21T19:40:36.342406+00:00
LM_01_GCB_20180910_CS_3200_3454,2026-09-21T19:40:40.559584+00:00
LM_01_GCB_20180911_CS_3200_3454,2026-09-21T19:41:02.011630+00:00
LM_01_GCB_20180912_CS_3200_3454,2026-09-21T19:41:10.976224+00:00
LM_01_GCB_20190605_CS_3404_3454,2026-09-21T19:41:23.052608+00:00
LM_01_GCB_20190606_CS_3346_3402,2026-09-21T19:41:26.959541+00:00
LM_01_GCB_20190610_CS_3200_3248,2026-09-21T19:41:30.360346+00:00
LM_01_GCB_20190611_CS_3250_3302,2026-09-21T19:41:33.855355+00:00
LM_15_CVB_20150407_CS_6152_6170,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150408_CS_6106_6150,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150409_CS_6082_6104,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150413_CS_6056_6080,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150414_CS_6000_6054,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150513_CS_MB_5998_6000,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150514_CS_MB_5992_5997,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150515_CS_MB_5987_5993,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150516_CS_MB_5980_5989,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150516_CS_MB_5976_5983,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150516_CS_MB_5972_5978,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150517_CS_MB_5967_5973,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150518_CS_MB_5964_5967,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150519_CS_MB_5957_5962,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150520_CS_MB_5953_5958,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150521_CS_MB_5946_5954,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150523_CS_MB_5942_5948,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20150524_CS_MB_5938_5943,2026-09-21T20:51:39.948226+00:00
LM_14_VBO_20150416_CS_5900_5938,2026-09-21T20:51:39.948226+00:00
LM_14_VBO_20150420_CS_5858_5898,2026-09-21T20:51:39.948226+00:00
LM_14_VBO_20150421_CS_5810_5856,2026-09-21T20:51:39.948226+00:00
