CityName,LAT,LON,MileMarker,thresh_el,r2,n_obs
stlouis,38.629,-90.17977778,1132.6,376.58,1.0,9411.0
chester,37.90075,-89.83022222,1062.9,340.9798765999708,0.9874,9314.0
capegir,37.30415121,-89.51748175,1005.1,312.3707780743043,0.9566,6707.0
wickliffe,36.948901,-89.096166,950.5,275.5025304178786,0.9473,3997.0
hickman,36.569671,-89.205701,922.0,264.43994475591074,0.9486,9179.0
newmadrid,36.5809,-89.547454,889.0,251.65099852929794,0.9626,9075.0
tipton,36.412438,-89.537728,875.8,244.5167262279033,0.9593,8757.0
caruthers,36.194131,-89.652723,846.4,235.30817027327066,0.9734,9108.0
osceola,35.656894,-89.9277,783.5,199.6190871112198,0.9789,9162.0
memphis,35.123024,-90.077404,734.4,174.03,1.0,9397.0
mhoonl,34.740777,-90.445145,687.5,149.2023793017846,0.9793,2730.0
helena,34.51667,-90.58417,663.1,137.23409259896115,0.9868,9050.0
friarsp,34.38378889,-90.62428333,652.5,133.51304152574954,0.9759,3992.0
rosedale,33.82111389,-91.02166111,584.5,99.6926191029086,0.9471,1889.0
arkcity,33.551509,-91.238365,554.1,93.56432049456197,0.9941,9167.0
greenville,33.2854,-91.15632222,531.3,81.793,1.0,9167.0
lakeprov,32.75565556,-91.17109444,483.0,,,
vicksburg,32.311832,-90.902332,435.4,46.955252409693706,0.9865,9199.0
natchez,31.544017,-91.433412,363.3,26.33245555839931,0.9702,9136.0
batonrouge,30.42916667,-91.20694444,228.4,0.7137772653020731,0.9541,8870.0
