ahp_mile,navd88_ft_approx
355.0,23.38
356.0,23.77
357.0,24.13
358.0,24.58
359.0,25.02
360.0,25.02
361.0,25.32
362.0,25.34
363.0,25.34
364.0,25.34
365.0,25.65
366.0,25.65
367.0,25.65
368.0,25.96
369.0,25.96
370.0,25.96
371.0,26.24
372.0,26.28
373.0,26.59
374.0,26.74
375.0,26.9
376.0,27.26
377.0,27.84
378.0,28.16
379.0,28.61
380.0,29.07
381.0,29.52
382.0,29.97
383.0,30.43
384.0,30.88
385.0,31.29
386.0,31.65
387.0,32.23
388.0,32.54
389.0,32.99
390.0,33.44
391.0,33.8
392.0,34.11
393.0,34.42
394.0,34.78
395.0,35.11
396.0,35.39
397.0,35.83
398.0,36.12
399.0,36.58
400.0,36.87
401.0,37.24
402.0,37.56
403.0,37.87
404.0,38.18
405.0,38.35
406.0,38.5
407.0,38.81
408.0,39.05
409.0,39.44
410.0,39.75
411.0,40.06
412.0,40.38
413.0,40.53
414.0,40.56
415.0,41.29
416.0,41.47
417.0,41.63
418.0,41.94
419.0,42.26
420.0,42.57
421.0,42.88
422.0,43.2
423.0,43.51
424.0,43.83
425.0,44.14
426.0,44.58
427.0,44.98
428.0,45.48
429.0,46.09
430.0,47.02
431.0,47.83
432.0,48.39
433.0,48.84
434.0,49.15
435.0,49.46
436.0,49.58
437.0,49.78
438.0,50.09
439.0,50.62
440.0,51.03
441.0,51.06
442.0,51.34
443.0,51.34
444.0,51.65
445.0,51.77
446.0,51.97
447.0,52.37
448.0,52.82
449.0,53.22
450.0,53.57
451.0,53.88
452.0,54.16
453.0,54.46
454.0,54.47
455.0,54.79
456.0,54.88
457.0,55.1
458.0,55.41
459.0,55.41
460.0,55.73
461.0,55.73
462.0,56.04
463.0,56.48
464.0,56.78
465.0,57.23
466.0,57.53
467.0,57.92
468.0,58.23
469.0,58.57
470.0,59.03
471.0,59.79
472.0,60.4
473.0,60.7
474.0,61.31
475.0,61.52
476.0,61.68
477.0,61.73
478.0,61.99
479.0,62.32
480.0,62.62
481.0,63.07
482.0,63.52
483.0,64.13
484.0,64.74
485.0,65.35
486.0,65.96
487.0,66.41
488.0,67.02
489.0,67.63
490.0,68.24
491.0,68.69
492.0,69.3
493.0,69.91
494.0,70.52
495.0,71.13
496.0,71.74
497.0,72.06
498.0,72.33
499.0,72.65
500.0,72.96
501.0,73.27
502.0,73.36
503.0,73.59
504.0,73.9
505.0,73.94
506.0,74.21
507.0,74.53
508.0,74.67
509.0,74.84
510.0,75.15
511.0,75.4
512.0,75.47
513.0,75.78
514.0,76.29
515.0,76.93
516.0,77.83
517.0,78.74
518.0,79.64
519.0,80.44
520.0,81.52
521.0,82.13
522.0,82.58
523.0,82.99
524.0,83.33
525.0,83.78
526.0,84.23
527.0,84.82
528.0,85.3
529.0,85.75
530.0,86.36
531.0,86.81
532.0,87.27
533.0,87.72
534.0,88.17
535.0,88.78
536.0,89.23
537.0,89.69
538.0,90.19
539.0,90.75
540.0,91.2
541.0,91.76
542.0,92.14
543.0,92.7
544.0,93.17
545.0,93.62
546.0,94.08
547.0,94.69
548.0,95.14
549.0,95.44
550.0,95.83
551.0,96.15
552.0,96.15
553.0,96.31
554.0,96.46
555.0,96.46
556.0,96.77
557.0,96.87
558.0,97.32
559.0,97.77
560.0,98.22
561.0,98.7
562.0,99.29
563.0,99.76
564.0,100.34
565.0,99.91
566.0,99.91
567.0,100.38
568.0,100.38
569.0,100.85
570.0,100.85
571.0,101.32
572.0,101.32
573.0,101.79
574.0,101.79
575.0,101.94
576.0,101.94
577.0,102.17
578.0,102.57
579.0,102.91
580.0,103.04
581.0,103.04
582.0,103.35
583.0,103.35
584.0,103.67
585.0,103.67
586.0,103.81
587.0,103.98
588.0,104.29
589.0,104.29
590.0,104.61
591.0,104.61
