ahp_mile,navd88_ft
963.2,280.51
963.1,280.51
963.0,280.51
962.9,280.51
962.8,280.51
962.7,280.51
962.6,280.51
962.5,280.51
962.4,280.51
962.3,280.51
962.2,280.51
962.1,280.51
962.0,280.51
961.9,280.51
961.8,280.51
961.7,280.51
961.6,280.51
961.5,280.51
961.4,280.51
961.3,280.51
961.2,280.51
961.1,280.51
961.0,280.51
960.9,280.51
960.8,280.51
960.7,280.51
960.6,280.51
960.5,280.51
960.4,280.51
960.3,280.51
960.2,280.51
960.1,280.51
960.0,280.51
959.9,280.51
959.8,280.51
959.7,280.51
959.6,280.51
959.5,280.51
959.4,280.51
959.3,280.5
959.2,280.5
959.1,280.5
959.0,280.5
958.9,280.5
958.8,280.49
958.7,280.49
958.6,280.49
958.5,280.48
958.4,280.48
958.3,280.48
958.2,280.48
958.1,280.48
958.0,280.48
957.9,280.47
957.8,280.47
957.7,280.47
957.6,280.46
957.5,280.46
957.4,280.46
957.3,280.46
957.2,280.46
957.1,280.45
957.0,280.45
956.9,280.45
956.8,280.45
956.7,280.45
956.6,280.45
956.5,280.44
956.4,280.44
956.3,280.43
956.2,280.43
956.1,280.43
956.0,280.43
955.9,280.43
955.8,280.43
955.7,280.42
955.6,280.42
955.5,280.42
955.4,280.41
955.3,280.41
955.2,280.41
955.1,280.41
955.0,280.4
954.9,280.35
954.8,280.35
954.7,280.2
954.6,280.2
954.5,280.2
954.4,280.2
954.3,280.0
954.2,280.0
954.1,280.0
954.0,279.8
953.9,279.8
953.8,279.8
953.7,279.7
953.6,279.6
953.5,279.4
953.4,279.4
953.3,279.3
953.2,279.3
953.1,279.2
953.0,279.2
952.9,279.2
952.8,279.2
952.7,279.2
952.6,279.2
952.5,279.2
952.4,279.2
952.3,279.2
952.2,279.0
952.1,279.0
952.0,279.0
951.9,279.0
951.8,279.0
951.7,279.0
951.6,279.0
951.5,279.0
951.4,279.0
951.3,279.0
951.2,279.0
951.1,279.0
951.0,279.0
950.9,279.0
950.8,279.0
950.7,279.0
950.6,279.0
950.5,279.0
950.4,279.0
950.3,279.0
950.2,279.0
950.1,279.0
950.0,279.0
949.9,279.0
949.8,279.0
949.7,279.0
949.6,279.0
949.5,278.9
949.4,278.9
949.3,278.8
949.2,278.8
949.1,278.8
949.0,278.5
948.9,278.5
948.8,278.5
948.7,278.5
948.6,278.4
948.5,278.2
948.4,278.2
948.3,278.2
948.2,278.1
948.1,278.1
948.0,278.1
947.9,278.0
947.8,278.0
947.7,278.0
947.6,277.9
947.5,277.9
947.4,277.9
947.3,277.8
947.2,277.7
947.1,277.6
947.0,277.5
946.9,277.5
946.8,277.4
946.7,277.4
946.6,277.3
946.5,277.3
946.4,277.3
946.3,277.3
946.2,277.2
946.1,277.1
946.0,277.1
945.9,277.1
945.8,277.1
945.7,277.1
945.6,277.1
945.5,277.1
945.4,277.1
945.3,277.1
945.2,277.1
945.1,277.1
945.0,277.1
944.9,277.1
944.8,277.1
944.7,277.1
944.6,276.9
944.5,276.9
944.4,276.9
944.3,276.9
944.2,276.9
944.1,276.9
944.0,276.9
943.9,276.7
943.8,276.7
943.7,276.6
943.6,276.6
943.5,276.5
943.4,276.5
943.3,276.5
943.2,276.5
943.1,276.5
943.0,276.5
942.9,276.5
942.8,276.5
942.7,276.5
942.6,276.5
942.5,276.5
942.4,276.5
942.3,276.5
942.2,276.5
942.1,276.5
942.0,276.4
941.9,276.4
941.8,276.4
941.7,276.3
941.6,276.3
941.5,276.3
941.4,276.2
941.3,276.2
941.2,276.2
941.1,276.2
941.0,276.2
940.9,276.2
940.8,276.1
940.7,276.1
940.6,276.1
940.5,276.0
940.4,276.0
940.3,276.0
940.2,276.0
940.1,276.0
940.0,275.9
939.9,275.8
939.8,275.79
939.7,275.79
939.6,275.79
939.5,275.7
939.4,275.7
939.3,275.7
939.2,275.69
939.1,275.69
939.0,275.69
938.9,275.68
938.8,275.68
938.7,275.68
938.6,275.67
938.5,275.67
938.4,275.66
938.3,275.66
938.2,275.66
938.1,275.65
938.0,275.51
937.9,275.51
937.8,275.51
937.7,275.5
937.6,275.5
937.5,275.5
937.4,275.5
937.3,275.5
937.2,275.5
937.1,275.5
937.0,275.5
936.9,275.5
936.8,275.5
936.7,275.5
936.6,275.5
936.5,275.5
936.4,275.5
936.3,275.5
936.2,275.5
936.1,275.5
936.0,275.5
935.9,275.5
935.8,275.5
935.7,275.5
935.6,275.5
935.5,275.5
935.4,275.5
935.3,275.5
935.2,275.4
935.1,275.4
935.0,275.3
934.9,275.0
934.8,275.0
934.7,275.0
934.6,274.9
934.5,274.8
934.4,274.8
934.3,274.6
934.2,274.5
934.1,274.4
934.0,274.3
933.9,274.1
933.8,274.0
933.7,274.0
933.6,273.9
933.5,273.9
933.4,273.8
933.3,273.71
933.2,273.7
933.1,273.6
933.0,273.4
932.9,273.2
932.8,273.1
932.7,273.1
932.6,273.0
932.5,272.99
932.4,272.9
932.3,272.7
932.2,272.6
932.1,272.4
932.0,272.3
931.9,272.2
931.8,272.2
931.7,272.2
931.6,272.0
931.5,271.99
931.4,271.8
931.3,271.7
931.2,271.6
931.1,271.6
931.0,271.5
930.9,271.41
930.8,271.41
930.7,271.41
930.6,271.4
930.5,271.4
930.4,271.4
930.3,271.4
930.2,271.4
930.1,271.39
930.0,271.3
929.9,271.3
929.8,271.3
929.7,271.21
929.6,271.01
929.5,270.8
929.4,270.7
929.3,270.6
929.2,270.4
929.1,270.3
929.0,270.3
928.9,270.11
928.8,270.11
928.7,270.11
928.6,270.1
928.5,270.0
928.4,270.0
928.3,270.0
928.2,269.91
928.1,269.91
928.0,269.91
927.9,269.91
927.8,269.8
927.7,269.8
927.6,269.7
927.5,269.7
927.4,269.7
927.3,269.6
927.2,269.6
927.1,269.6
927.0,269.6
926.9,269.51
926.8,269.51
926.7,269.51
926.6,269.4
926.5,269.4
926.4,269.4
926.3,269.3
926.2,269.2
926.1,269.2
926.0,269.2
925.9,269.1
925.8,269.01
925.7,269.0
925.6,269.0
925.5,268.9
925.4,268.9
925.3,268.9
925.2,268.8
925.1,268.7
925.0,268.69
924.9,268.6
924.8,268.6
924.7,268.5
924.6,268.4
924.5,268.3
924.4,268.2
924.3,268.2
924.2,268.11
924.1,268.11
924.0,268.11
923.9,268.11
923.8,268.1
923.7,268.1
923.6,268.1
923.5,268.1
923.4,268.01
923.3,268.01
923.2,268.01
923.1,268.01
923.0,268.0
922.9,268.0
922.8,268.0
922.7,268.0
922.6,267.91
922.5,267.91
922.4,267.91
922.3,267.91
922.2,267.91
922.1,267.91
922.0,267.91
921.9,267.9
921.8,267.9
921.7,267.9
921.6,267.9
921.5,267.9
921.4,267.9
921.3,267.9
921.2,267.9
921.1,267.8
921.0,267.8
920.9,267.8
920.8,267.7
920.7,267.6
920.6,267.4
920.5,267.2
920.4,267.2
920.3,267.2
920.2,267.2
920.1,267.2
