ahp_mile,navd88_ft
953.0,279.39
954.0,279.96
955.0,280.46
956.0,280.97
957.0,281.44
958.0,281.85
959.0,282.29
960.0,282.9
961.0,283.46
962.0,284.07
963.0,284.7
964.0,285.12
965.0,285.38
966.0,285.68
967.0,286.42
968.0,287.13
969.0,287.82
970.0,288.51
971.0,289.19
972.0,289.79
973.0,290.28
974.0,290.91
975.0,291.56
976.0,292.16
977.0,292.73
978.0,293.27
979.0,293.84
980.0,294.36
981.0,294.89
982.0,295.44
983.0,296.01
984.0,296.54
985.0,297.09
986.0,297.64
987.0,298.2
988.0,298.69
989.0,299.2
990.0,299.9
991.0,300.73
992.0,301.41
993.0,302.02
994.0,302.59
995.0,303.55
996.0,304.31
997.0,305.28
998.0,305.9
999.0,306.47
1000.0,307.08
1001.0,307.68
1002.0,308.22
1003.0,308.81
1004.0,309.38
1005.0,309.97
1006.0,310.62
1007.0,311.16
1008.0,311.72
1009.0,312.27
1010.0,312.84
1011.0,313.38
1012.0,313.99
1013.0,314.52
1014.0,315.17
1015.0,315.7
1016.0,316.34
1017.0,317.0
1018.0,317.49
1019.0,317.82
1020.0,318.36
1021.0,318.96
1022.0,319.45
1023.0,319.98
1024.0,320.58
1025.0,321.16
1026.0,322.09
1027.0,322.54
1028.0,322.78
1029.0,323.29
1030.0,323.75
1031.0,323.93
1032.0,324.46
1033.0,324.71
1034.0,325.08
1035.0,325.48
1036.0,325.96
1037.0,326.51
1038.0,327.01
1039.0,327.6
1040.0,328.2
1041.0,328.64
1042.0,329.13
1043.0,329.61
1044.0,330.19
1045.0,330.74
1046.0,331.16
1047.0,331.67
1048.0,332.14
1049.0,333.19
1050.0,333.6
1051.0,334.19
1052.0,334.92
1053.0,335.63
1054.0,336.33
1055.0,336.93
1056.0,337.52
1057.0,338.01
1058.0,338.58
1059.0,339.13
1060.0,339.49
1061.0,340.12
1062.0,340.53
1063.0,341.33
1064.0,341.87
1065.0,342.3
1066.0,342.47
1067.0,342.89
1068.0,343.31
1069.0,343.76
1070.0,344.4
1071.0,344.8
1072.0,345.5
1073.0,346.1
1074.0,346.79
1075.0,347.45
1076.0,347.93
1077.0,348.37
1078.0,348.81
1079.0,349.29
1080.0,349.61
1081.0,350.12
1082.0,351.02
1083.0,351.63
1084.0,351.94
1085.0,352.37
1086.0,352.78
1087.0,353.13
1088.0,353.84
1089.0,354.27
1090.0,354.71
1091.0,354.89
1092.0,355.32
1093.0,355.98
1094.0,356.44
1095.0,356.62
1096.0,356.98
1097.0,357.51
1098.0,358.23
1099.0,358.72
1100.0,359.24
1101.0,359.79
1102.0,360.4
1103.0,360.91
1104.0,361.41
1105.0,361.84
1106.0,362.16
1107.0,362.56
1108.0,362.97
1109.0,363.51
1110.0,363.91
1111.0,364.31
1112.0,364.65
1113.0,364.87
1114.0,365.44
1115.0,366.09
1116.0,366.91
1117.0,367.51
1118.0,367.89
1119.0,368.21
1120.0,368.43
1121.0,368.7
1122.0,369.59
1123.0,370.3
1124.0,371.03
1125.0,371.71
1126.0,372.42
1127.0,373.14
1128.0,373.87
1129.0,374.45
1130.0,374.98
1131.0,375.52
1132.0,375.96
1133.0,376.28
1134.0,376.6
1135.0,376.72
1136.0,376.77
1137.0,376.89
1138.0,376.96
1139.0,376.98
1140.0,396.25
1141.0,396.21
1142.0,396.22
1143.0,396.24
1144.0,396.33
1145.0,396.28
1146.0,396.27
1147.0,396.28
1148.0,396.32
