survey_id,year,date,lat,lon,milemarker
LM_01_GCB_20150907_CS_3200_3224,2015,2015-09-07,31.16114951076976,-91.60109841658348,321.0
LM_01_GCB_20150908_CS_3226_3280,2015,2015-09-08,31.20742701662066,-91.61582872645351,325.0
LM_01_GCB_20150909_CS_3414_3454,2015,2015-09-09,31.342210955567708,-91.49231585391225,343.0
LM_01_GCB_20150910_CS_3282_3412,2015,2015-09-10,31.27677917962809,-91.5800980614944,334.0
LM_01_GCB_20160901_CS_3200_3214,2016,2016-09-01,31.15471255369845,-91.6035488782058,321.0
LM_01_GCB_20160902_CS_3200_3454,2016,2016-09-02,31.191639190768274,-91.60125523555396,324.0
LM_01_GCB_20160903_CS_3258_3312,2016,2016-09-03,31.24179204626472,-91.63364952989542,328.0
LM_01_GCB_20160904_CS_3314_3454,2016,2016-09-04,31.31353840914366,-91.55102193695244,341.0
LM_01_GCB_20160905_CS_3200_3454,2016,2016-09-05,31.281858424368476,-91.52317350965,339.0
LM_01_GCB_20170815_CS,2017,2017-08-15,31.25800102215305,-91.56552479064806,335.0
LM_01_GCB_20170816_CS,2017,2017-08-16,31.276144761042243,-91.54291450132988,337.0
LM_01_GCB_20170817_CS,2017,2017-08-17,31.20850771544058,-91.6209025690135,326.0
LM_01_GCB_20170818_CS,2017,2017-08-18,31.20927552936396,-91.61709053010524,326.0
LM_01_GCB_20180909_CS_3200_3454,2018,2018-09-09,31.25628396312744,-91.54331077357924,337.0
LM_01_GCB_20180910_CS_3200_3454,2018,2018-09-10,31.233123067491675,-91.62969255426437,327.0
LM_01_GCB_20180911_CS_3200_3454,2018,2018-09-11,31.266550896949884,-91.5744988746728,335.0
LM_01_GCB_20180912_CS_3200_3454,2018,2018-09-12,31.30024970046391,-91.51480185157388,340.0
LM_01_GCB_20190605_CS_3404_3454,2019,2019-06-05,31.337528893350065,-91.49381587523258,343.0
LM_01_GCB_20190606_CS_3346_3402,2019,2019-06-06,31.278889677309536,-91.54083299452756,337.0
LM_01_GCB_20190610_CS_3200_3248,2019,2019-06-10,31.17793989955638,-91.59979530418656,322.0
LM_01_GCB_20190611_CS_3250_3302,2019,2019-06-11,31.23328454703304,-91.6282580966812,327.0
LM_01_GCB_20190612_CS_3304_3344,2019,2019-06-12,31.26413891493377,-91.61424134763442,332.0
LM_02_GCG_20150903_CS_3614_3660,2015,2015-09-03,31.56671860122726,-91.42443727280916,363.0
LM_02_GCG_20150904_CS_3562_3612,2015,2015-09-04,31.523371762464592,-91.48292343278918,359.0
LM_02_GCG_20150905_CS_3502_3560,2015,2015-09-05,31.457954322751498,-91.50946720689277,353.0
LM_02_GCG_20150906_CS_3454_3504,2015,2015-09-06,31.39576973777313,-91.48047395758078,348.0
LM_02_GCG_20160829_CS_3638_3660,2016,2016-08-29,31.577755970167104,-91.40877115583962,365.0
LM_02_GCG_20160830_CS_3584_3636,2016,2016-08-30,31.541812051420624,-91.453744153912,361.0
LM_02_GCG_20160831_CS_3556_3582,2016,2016-08-31,31.51071566097831,-91.50506871105684,357.0
LM_02_GCG_20160901_CS_3512_3554,2016,2016-09-01,31.45949111384813,-91.5116482262233,353.0
LM_02_GCG_20160902_CS_3476_3510,2016,2016-09-02,31.41327749649503,-91.48638023515748,349.0
LM_02_GCG_20170813_CS,2017,2017-08-13,31.56306385068117,-91.4318262577546,363.0
LM_02_GCG_20170814_CS,2017,2017-08-14,31.519935913269887,-91.48387308335954,359.0
LM_02_GCG_20170815_CS,2017,2017-08-15,31.46809546856646,-91.50797437554334,354.0
LM_02_GCG_20170816_CS,2017,2017-08-16,31.40904723466944,-91.48619866522176,349.0
LM_02_GCG_20170817_CS,2017,2017-08-17,31.37317640873165,-91.4704685363211,346.0
LM_02_GCG_20180831_CS_3454_3660,2018,2018-08-31,31.57576006371366,-91.41082541796182,365.0
LM_02_GCG_20180904_CS_3454_3660,2018,2018-09-04,31.538519920279462,-91.45932998786658,360.0
LM_02_GCG_20180905_CS_3454_3660,2018,2018-09-05,31.485988165784832,-91.50998448109188,355.0
LM_02_GCG_20180906_CS_3454_3660,2018,2018-09-06,31.41471641773138,-91.49179149341292,350.0
LM_02_GCG_20180907_CS_3454_3660,2018,2018-09-07,31.37326116931196,-91.46922410986572,346.0
