x,y,vessel_count
627220.4331893444,3426730.905745316,1
627220.4331893444,3426880.905745316,1
627295.4331893444,3426205.905745316,3
627295.4331893444,3426280.905745316,3
627295.4331893444,3426355.905745316,8
627295.4331893444,3426430.905745316,4
627295.4331893444,3426505.905745316,8
627295.4331893444,3426580.905745316,9
627295.4331893444,3426655.905745316,3
627295.4331893444,3426730.905745316,7
627295.4331893444,3426805.905745316,1
627295.4331893444,3426880.905745316,1
627295.4331893444,3426955.905745316,3
627295.4331893444,3427030.905745316,3
627295.4331893444,3427105.905745316,2
627295.4331893444,3427180.905745316,1
627370.4331893444,3425980.905745316,7
627370.4331893444,3426055.905745316,11
627370.4331893444,3426130.905745316,15
627370.4331893444,3426205.905745316,13
627370.4331893444,3426280.905745316,19
627370.4331893444,3426355.905745316,16
627370.4331893444,3426430.905745316,14
627370.4331893444,3426505.905745316,14
627370.4331893444,3426580.905745316,16
627370.4331893444,3426655.905745316,20
627370.4331893444,3426730.905745316,7
627370.4331893444,3426805.905745316,16
627370.4331893444,3426880.905745316,16
627370.4331893444,3426955.905745316,14
627370.4331893444,3427030.905745316,16
627370.4331893444,3427105.905745316,4
627370.4331893444,3427180.905745316,5
627370.4331893444,3427255.905745316,5
627370.4331893444,3427330.905745316,1
627370.4331893444,3427405.905745316,1
627370.4331893444,3427480.905745316,1
627370.4331893444,3427555.905745316,2
627445.4331893444,3425605.905745316,1
627445.4331893444,3425755.905745316,2
627445.4331893444,3425830.905745316,8
627445.4331893444,3425905.905745316,20
627445.4331893444,3425980.905745316,21
627445.4331893444,3426055.905745316,13
627445.4331893444,3426130.905745316,24
627445.4331893444,3426205.905745316,25
627445.4331893444,3426280.905745316,20
627445.4331893444,3426355.905745316,30
627445.4331893444,3426430.905745316,45
627445.4331893444,3426505.905745316,44
627445.4331893444,3426580.905745316,47
627445.4331893444,3426655.905745316,60
627445.4331893444,3426730.905745316,42
627445.4331893444,3426805.905745316,55
627445.4331893444,3426880.905745316,50
627445.4331893444,3426955.905745316,55
627445.4331893444,3427030.905745316,49
627445.4331893444,3427105.905745316,38
627445.4331893444,3427180.905745316,56
627445.4331893444,3427255.905745316,42
627445.4331893444,3427330.905745316,34
627445.4331893444,3427405.905745316,22
627445.4331893444,3427480.905745316,10
627445.4331893444,3427555.905745316,7
627445.4331893444,3427630.905745316,5
627445.4331893444,3427705.905745316,5
627445.4331893444,3427780.905745316,2
627445.4331893444,3428230.905745316,1
627445.4331893444,3428380.905745316,2
627445.4331893444,3428455.905745316,1
627445.4331893444,3428530.905745316,1
627445.4331893444,3428755.905745316,1
627520.4331893444,3425530.905745316,3
