survey_id,year,combine_group,activate,deactivate
LM_26_HIKX_20220209_CS_924_928_SORT_LWRP,2022,,,
LM_26_HIKX_20220926_CS_921_919_SORT_LWRP,2022,,,
LM_25_MADX_20220331_CS_917_904_SORT_LWRP,2022,,,
LM_25_MADX_20220329_CS_898_902_SORT_LWRP,2022,,,
LM_25_MADX_20220822_CS_902_899_SORT_LWRP,2022,,,
LM_25_MADX_20220519_CS_885_SORT_LWRP,2022,,,
LM_24_CARX_20220210_CS_864_870_SORT_LWRP,2022,,,
LM_24_CARX_20220411_CS_840_842_SORT_LWRP,2022,,,
LM_23_OSCX_20220328_CS_811_817_SORT_LWRP,2022,,,
LM_23_OSCX_20220629_CS_796_791_SORT_LWRP,2022,,,
LM_23_OSCX_20220412_CS_788_793_SORT_LWRP,2022,,,
LM_22_RANX_20220907_CS_781_778_SORT_LWRP,2022,,,
LM_22_RANX_20220705_CS_772_769_SORT_LWRP,2022,,,
LM_19_MEMX_20220804_CS_758_759_SORT_LWRP,2022,,,
LM_19_MEMX_20220901_CS_756_SORT_LWRP,2022,,,
LM_19_MEMX_20220707_CS_739_744_SORT_LWRP,2022,,,
LM_19_MEMX_20220902_CS_743_739_SORT_LWRP,2022,,,
LM_19_MEMX_20220810_CS_733_739_SORT_LWRP,2022,,,
LM_19_MEMX_20220811_CS_726_724_SORT_LWRP,2022,,,
LM_19_MEMX_20220706_CS_714_720_SORT_LWRP,2022,,,
LM_18_FRIX_20220929_CS_709_711_SORT_LWRP,2022,,,
LM_18_FRIX_20221109_CS_705_704_SORT_ACTUALDEPTH,2022,,,
LM_18_FRIX_20220929_CS_680_682_SORT_LWRP,2022,,,
LM_18_FRIX_20221110_CS_682_681_SORT_ACTUALDEPTH,2022,,,
LM_18_FRIX_20220719_CS_651_653_SORT_LWRP,2022,,,
LM_15_CVB_20220326_CS_6150_6114,2022,,,
LM_15_CVB_20220407_CS_6082_6036,2022,KK,,
LM_15_CVB_20220408_CS_6034_5990,2022,KK,,
LM_15_CVB_20220409_CS_5990_5984_ALL,2022,,,
LM_14_VBO_20220412_CS_5938_5906,2022,MM,,
LM_14_VBO_20220413_CS_5904_5874,2022,MM,,
LM_14_VBO_20220414_CS_5872_5834,2022,MM,,
LM_14_VBO_20220418_CS_5832_5810,2022,MM,,
LM_13_OZE_20220423_CS_5810_5774,2022,NN,,
LM_13_OZE_20220422_CS_5778_5742,2022,NN,,
