CityName,Datum29,Datum88,LAT,LON,UnlabeledDatum(assume29),MileMarker,MileMarker_REAL,88_old
stlouis,,379.58,38.629,-90.17977778,,1132.6,179.6,
chester,,340.73,37.90075,-89.83022222,,1062.9,109.9,
capegir,304.65,304.9,37.30415121,-89.51748175,,1005.1,52.1,308.25
wickliffe,269.12,269.52,36.948901,-89.096166,,950.5,950.5,272.72
hickman,264.73,264.96,36.569671,-89.205701,Y,922,922,268.33
newmadrid,255.48,255.869,36.5809,-89.547454,Y,889,889,259.08
tipton,245.14,245.488,36.412438,-89.537728,,875.8,875.8,248.74
caruthers,235.49,235.728,36.194131,-89.652723,Y,846.4,846.4,239.09
osceola,209.43,209.544,35.656894,-89.9277,Y,783.5,783.5,213.03
memphis,,184.03,35.123024,-90.077404,,734.4,734.4,
mhoonl,161.22,161.14,34.740777,-90.445145,Y,687.5,687.5,164.82
helena,141.7,141.57,34.51667,-90.58417,Y,663.1,663.1,145.3
friarsp,138.62,138.448,34.38378889,-90.62428333,Y,652.5,652.5,142.22
rosedale,108.73,108.52,33.82111389,-91.02166111,,584.5,584.5,112.33
arkcity,96.66,96.342,33.551509,-91.238365,,554.1,554.1,100.26
greenville,74.92,74.793,33.2854,-91.15632222,,531.3,531.3,78.52
lakeprov,69.71,69.993,32.75565556,-91.17109444,,483,483,73.31
vicksburg,46.23,46.099,32.311832,-90.902332,,435.4,435.4,49.83
natchez,17.28,17.297,31.544017,-91.433412,,363.3,363.3,20.88
batonrouge,0,-0.71,30.42916667,-91.20694444,,228.4,228.4,-0.71
