stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,968.6,-91.599785,31.212592
-2,1020.9,-91.592777,31.205435
-1,1032.8,-91.592777,31.205435
0,1222.3,-91.58711,31.190935
1,1238.1,-91.58711,31.190935
2,1260.2,-91.58711,31.190935
3,1286.8,-91.58711,31.190935
4,1310.9,-91.58711,31.190935
5,1335.3,-91.58711,31.190935
6,1359.6,-91.58711,31.190935
7,1370.9,-91.588179,31.178928
8,1380.9,-91.588179,31.178928
9,1391.0,-91.588179,31.178928
10,1401.6,-91.588179,31.178928
11,1415.4,-91.588179,31.178928
12,1429.3,-91.588179,31.178928
13,1443.1,-91.588179,31.178928
14,1459.2,-91.588179,31.178928
15,1477.3,-91.588179,31.178928
16,1495.4,-91.588179,31.178928
17,1513.1,-91.588179,31.178928
18,1530.7,-91.588179,31.178928
19,1548.3,-91.588179,31.178928
20,1567.8,-91.588179,31.178928
21,1587.4,-91.588179,31.178928
22,1694.9,-91.587566,31.181823
23,1694.9,-91.587566,31.181823
24,1694.9,-91.587566,31.181823
25,1694.9,-91.587566,31.181823
26,1694.9,-91.587566,31.181823
27,1694.9,-91.587566,31.181823
28,1694.9,-91.587566,31.181823
29,1694.9,-91.587566,31.181823
30,1694.9,-91.587566,31.181823
31,1694.9,-91.587566,31.181823
32,1694.9,-91.587566,31.181823
33,1694.9,-91.587566,31.181823
34,1694.9,-91.587566,31.181823
35,1694.9,-91.587566,31.181823
36,1694.9,-91.587566,31.181823
