stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1370.5,-91.59048,31.173468
-2,1384.3,-91.59048,31.173468
-1,1398.0,-91.59048,31.173468
0,1410.0,-91.59048,31.173468
1,1420.8,-91.59048,31.173468
2,1431.5,-91.59048,31.173468
3,1442.2,-91.59048,31.173468
4,1453.0,-91.59048,31.173468
5,1463.7,-91.59048,31.173468
6,1475.1,-91.59048,31.173468
7,1486.6,-91.59048,31.173468
8,1498.1,-91.59048,31.173468
9,1509.6,-91.59048,31.173468
10,1521.1,-91.59048,31.173468
11,1533.1,-91.59048,31.173468
12,1545.9,-91.59048,31.173468
13,1558.7,-91.59048,31.173468
14,1571.5,-91.59048,31.173468
15,1584.2,-91.59048,31.173468
16,1601.3,-91.59048,31.173468
17,1618.9,-91.59048,31.173468
18,1636.5,-91.59048,31.173468
19,1650.1,-91.599147,31.15379
20,1650.1,-91.599147,31.15379
21,1650.1,-91.599147,31.15379
22,1650.1,-91.599147,31.15379
23,1650.1,-91.599147,31.15379
24,1650.1,-91.599147,31.15379
25,1650.1,-91.599147,31.15379
26,1650.1,-91.599147,31.15379
27,1650.1,-91.599147,31.15379
28,1650.1,-91.599147,31.15379
29,1650.1,-91.599147,31.15379
30,1650.1,-91.599147,31.15379
31,1650.1,-91.599147,31.15379
32,1650.1,-91.599147,31.15379
33,1650.1,-91.599147,31.15379
34,1650.1,-91.599147,31.15379
35,1650.1,-91.599147,31.15379
36,1650.1,-91.599147,31.15379
