stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,344.4,-91.403901,31.56998
-2,349.9,-91.403901,31.56998
-1,355.5,-91.403901,31.56998
0,361.0,-91.403901,31.56998
1,366.6,-91.403901,31.56998
2,381.3,-91.403901,31.56998
3,398.5,-91.403901,31.56998
4,415.7,-91.403901,31.56998
5,1855.8,-91.406413,31.594185
6,1858.2,-91.406413,31.594185
7,1860.6,-91.406413,31.594185
8,1863.0,-91.406413,31.594185
9,1865.4,-91.406413,31.594185
10,1867.8,-91.406413,31.594185
11,1870.2,-91.406413,31.594185
12,1872.6,-91.406413,31.594185
13,1875.1,-91.406413,31.594185
14,1877.5,-91.406413,31.594185
15,1879.9,-91.406413,31.594185
16,1882.3,-91.406413,31.594185
17,1884.7,-91.406413,31.594185
18,1887.1,-91.406413,31.594185
19,1889.5,-91.406413,31.594185
20,1891.9,-91.406413,31.594185
21,1894.3,-91.406413,31.594185
22,1896.5,-91.406413,31.594185
23,1896.5,-91.406413,31.594185
24,1896.5,-91.406413,31.594185
25,1896.5,-91.406413,31.594185
26,1896.5,-91.406413,31.594185
27,1896.5,-91.406413,31.594185
28,1896.5,-91.406413,31.594185
29,1896.5,-91.406413,31.594185
30,1896.5,-91.406413,31.594185
31,1896.5,-91.406413,31.594185
32,1896.5,-91.406413,31.594185
33,1896.5,-91.406413,31.594185
34,1896.5,-91.406413,31.594185
35,1896.5,-91.406413,31.594185
36,1896.5,-91.406413,31.594185
