stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.383465,31.72243
-2,0.0,-91.383465,31.72243
-1,114.9,-91.383465,31.72243
0,167.4,-91.383465,31.72243
1,222.0,-91.383465,31.72243
2,457.3,-91.383465,31.72243
3,1028.1,-91.383465,31.72243
4,1118.2,-91.383465,31.72243
5,1199.8,-91.402207,31.683755
6,1213.9,-91.402207,31.683755
7,1228.1,-91.402207,31.683755
8,1251.8,-91.402207,31.683755
9,1276.5,-91.402207,31.683755
10,1303.3,-91.402207,31.683755
11,1332.1,-91.402207,31.683755
12,1368.4,-91.402207,31.683755
13,1406.8,-91.402207,31.683755
14,1435.0,-91.402207,31.683755
15,1461.3,-91.402207,31.683755
16,1481.8,-91.402207,31.683755
17,1502.3,-91.402207,31.683755
18,1523.8,-91.402207,31.683755
19,1547.2,-91.402207,31.683755
20,1570.7,-91.402207,31.683755
21,1732.9,-91.402207,31.683755
22,1757.2,-91.402207,31.683755
23,1781.4,-91.402207,31.683755
24,1813.0,-91.402207,31.683755
25,1854.7,-91.402207,31.683755
26,1967.9,-91.402207,31.683755
27,2039.9,-91.402251,31.680527
28,2149.5,-91.401663,31.671834
29,2197.1,-91.401663,31.671834
30,2249.5,-91.401663,31.671834
31,2315.9,-91.401663,31.671834
32,3184.5,-91.401663,31.671834
33,3184.5,-91.401663,31.671834
34,3184.5,-91.401663,31.671834
35,3184.5,-91.401663,31.671834
36,3184.5,-91.401663,31.671834
