stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,668.0,-91.317413,31.85669
-2,883.0,-91.345833,31.846059
-1,892.0,-91.345833,31.846059
0,901.4,-91.345833,31.846059
1,915.3,-91.345833,31.846059
2,938.7,-91.345833,31.846059
3,962.0,-91.345833,31.846059
4,997.5,-91.345833,31.846059
5,1040.4,-91.345833,31.846059
6,1083.2,-91.345833,31.846059
7,1112.8,-91.345833,31.846059
8,1145.1,-91.345833,31.846059
9,1228.1,-91.350014,31.831472
10,1230.8,-91.350014,31.831472
11,1233.5,-91.350014,31.831472
12,1236.1,-91.350014,31.831472
13,1238.8,-91.350014,31.831472
14,1241.5,-91.350014,31.831472
15,1244.2,-91.350014,31.831472
16,1246.9,-91.350014,31.831472
17,1249.5,-91.350014,31.831472
18,1249.6,-91.350014,31.831472
19,1249.6,-91.350014,31.831472
20,1249.6,-91.350014,31.831472
21,1249.6,-91.350014,31.831472
22,1249.6,-91.350014,31.831472
23,1249.6,-91.350014,31.831472
24,1249.6,-91.350014,31.831472
25,1249.6,-91.350014,31.831472
26,1249.6,-91.350014,31.831472
27,1249.6,-91.350014,31.831472
28,1249.6,-91.350014,31.831472
29,1249.6,-91.350014,31.831472
30,1249.6,-91.350014,31.831472
31,1249.6,-91.350014,31.831472
32,1249.6,-91.350014,31.831472
33,1249.6,-91.350014,31.831472
34,1249.6,-91.350014,31.831472
35,1249.6,-91.350014,31.831472
36,1249.6,-91.350014,31.831472
