stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,706.4,-91.112585,31.982075
-2,755.8,-91.102167,31.985122
-1,866.7,-91.112585,31.982075
0,900.2,-91.105526,31.983753
1,924.6,-91.105526,31.983753
2,958.9,-91.105526,31.983753
3,1173.5,-91.093068,31.990281
4,1258.0,-91.095868,31.98822
5,1287.1,-91.095868,31.98822
6,1319.7,-91.095868,31.98822
7,1352.8,-91.083527,31.99916
8,1373.3,-91.083527,31.99916
9,1814.6,-91.122971,31.980835
10,1840.2,-91.122971,31.980835
11,1864.4,-91.122971,31.980835
12,1998.3,-91.126534,31.980538
13,2097.8,-91.126534,31.980538
14,2367.7,-91.126534,31.980538
15,2433.8,-91.122971,31.980835
16,2560.8,-91.122971,31.980835
17,2681.2,-91.115868,31.981468
18,2742.6,-91.112585,31.982075
19,2763.7,-91.112585,31.982075
20,2784.8,-91.112585,31.982075
21,2830.1,-91.112585,31.982075
22,2874.4,-91.112585,31.982075
23,2924.3,-91.112585,31.982075
24,2971.1,-91.112585,31.982075
25,3312.8,-91.112585,31.982075
26,3364.2,-91.112585,31.982075
27,3389.2,-91.088226,31.994588
28,3389.2,-91.088226,31.994588
29,3389.2,-91.088226,31.994588
30,3389.2,-91.088226,31.994588
31,3389.2,-91.088226,31.994588
32,3389.2,-91.088226,31.994588
33,3389.2,-91.088226,31.994588
34,3389.2,-91.088226,31.994588
35,3389.2,-91.088226,31.994588
36,3389.2,-91.088226,31.994588
