stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.27005,31.858802
-2,0.0,-91.273307,31.857558
-1,0.0,-91.276477,31.85606
0,47.4,-91.276477,31.85606
1,198.2,-91.276477,31.85606
2,314.6,-91.276477,31.85606
3,572.9,-91.276477,31.85606
4,774.0,-91.273307,31.857558
5,953.2,-91.27942,31.852511
6,990.2,-91.27942,31.852511
7,1435.0,-91.282814,31.851902
8,1529.3,-91.282814,31.851902
9,1726.2,-91.293497,31.853597
10,1772.1,-91.293497,31.853597
11,2057.4,-91.289937,31.8529
12,2125.3,-91.289937,31.8529
13,2246.8,-91.296983,31.854365
14,2346.9,-91.296983,31.854365
15,2422.2,-91.296983,31.854365
16,2643.7,-91.293497,31.853597
17,2918.9,-91.282814,31.851902
18,2950.6,-91.282814,31.851902
19,2982.6,-91.282814,31.851902
20,3015.0,-91.282814,31.851902
21,3044.9,-91.282814,31.851902
22,3072.5,-91.282814,31.851902
23,3097.3,-91.282814,31.851902
24,3119.7,-91.282814,31.851902
25,3142.1,-91.282814,31.851902
26,3169.4,-91.282814,31.851902
27,3197.0,-91.282814,31.851902
28,3240.9,-91.282814,31.851902
29,3278.3,-91.296983,31.854365
30,3281.1,-91.296983,31.854365
31,3283.9,-91.296983,31.854365
32,3286.7,-91.296983,31.854365
33,3289.5,-91.296983,31.854365
34,3292.3,-91.296983,31.854365
35,3295.1,-91.296983,31.854365
36,3297.9,-91.296983,31.854365
