stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,893.2,-91.110826,32.1192
-2,897.8,-91.110826,32.1192
-1,904.9,-91.110826,32.1192
0,915.5,-91.110826,32.1192
1,926.2,-91.110826,32.1192
2,936.9,-91.110826,32.1192
3,947.6,-91.110826,32.1192
4,958.3,-91.110826,32.1192
5,968.9,-91.110826,32.1192
6,979.6,-91.110826,32.1192
7,989.7,-91.110826,32.1192
8,997.7,-91.110826,32.1192
9,1005.8,-91.110826,32.1192
10,1016.9,-91.110826,32.1192
11,1032.1,-91.110826,32.1192
12,1047.4,-91.110826,32.1192
13,1062.7,-91.110826,32.1192
14,1080.4,-91.110826,32.1192
15,1108.2,-91.110826,32.1192
16,1139.4,-91.110826,32.1192
17,1186.9,-91.110826,32.1192
18,1211.7,-91.110826,32.1192
19,1236.4,-91.110826,32.1192
20,1307.0,-91.110826,32.1192
21,1358.0,-91.110826,32.1192
22,1389.9,-91.106036,32.110719
23,1389.9,-91.106036,32.110719
24,1389.9,-91.106036,32.110719
25,1389.9,-91.106036,32.110719
26,1389.9,-91.106036,32.110719
27,1389.9,-91.106036,32.110719
28,1389.9,-91.106036,32.110719
29,1389.9,-91.106036,32.110719
30,1389.9,-91.106036,32.110719
31,1389.9,-91.106036,32.110719
32,1389.9,-91.106036,32.110719
33,1389.9,-91.106036,32.110719
34,1389.9,-91.106036,32.110719
35,1389.9,-91.106036,32.110719
36,1389.9,-91.106036,32.110719
