stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1001.5,-91.039004,32.118418
-2,1029.5,-91.045752,32.120644
-1,1045.3,-91.045752,32.120644
0,1061.1,-91.045752,32.120644
1,1076.9,-91.045752,32.120644
2,1092.5,-91.045752,32.120644
3,1108.1,-91.045752,32.120644
4,1123.7,-91.045752,32.120644
5,1144.7,-91.045752,32.120644
6,1175.0,-91.045752,32.120644
7,1191.4,-91.031803,32.118166
8,1220.3,-91.045752,32.120644
9,1238.6,-91.045752,32.120644
10,1257.3,-91.045752,32.120644
11,1281.5,-91.048864,32.121894
12,1291.6,-91.042395,32.119749
13,1309.7,-91.042395,32.119749
14,1327.7,-91.042395,32.119749
15,1346.7,-91.042395,32.119749
16,1378.4,-91.042395,32.119749
17,1401.0,-91.048864,32.121894
18,1419.4,-91.048864,32.121894
19,1437.8,-91.048864,32.121894
20,1496.2,-91.061585,32.126244
21,1496.2,-91.061585,32.126244
22,1496.2,-91.061585,32.126244
23,1496.2,-91.061585,32.126244
24,1496.2,-91.061585,32.126244
25,1496.2,-91.061585,32.126244
26,1496.2,-91.061585,32.126244
27,1496.2,-91.061585,32.126244
28,1496.2,-91.061585,32.126244
29,1496.2,-91.061585,32.126244
30,1496.2,-91.061585,32.126244
31,1496.2,-91.061585,32.126244
32,1496.2,-91.061585,32.126244
33,1496.2,-91.061585,32.126244
34,1496.2,-91.061585,32.126244
35,1496.2,-91.061585,32.126244
36,1496.2,-91.061585,32.126244
