stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.002269,32.421871
-2,0.0,-91.002269,32.421871
-1,0.0,-91.004617,32.424294
0,0.0,-91.004617,32.424294
1,0.0,-91.011927,32.425808
2,404.1,-91.004617,32.424294
3,435.9,-91.004617,32.424294
4,495.0,-91.004617,32.424294
5,924.0,-90.989631,32.396767
6,936.6,-90.989631,32.396767
7,951.2,-90.989631,32.396767
8,968.2,-90.989631,32.396767
9,985.5,-90.989631,32.396767
10,1002.9,-90.989631,32.396767
11,1021.4,-90.989631,32.396767
12,1040.5,-90.989631,32.396767
13,1059.5,-90.989631,32.396767
14,1079.0,-90.989631,32.396767
15,1099.1,-90.989631,32.396767
16,1119.3,-90.989631,32.396767
17,1141.9,-90.989631,32.396767
18,1176.5,-90.989631,32.396767
19,1273.5,-90.989631,32.396767
20,1358.8,-90.990459,32.393676
21,1372.2,-90.990459,32.393676
22,1388.9,-90.990459,32.393676
23,1405.6,-90.990459,32.393676
24,1422.3,-90.990459,32.393676
25,1442.3,-90.990459,32.393676
26,1476.6,-90.990459,32.393676
27,1508.6,-90.994793,32.385301
28,1519.2,-90.994793,32.385301
29,1529.8,-90.994793,32.385301
30,1540.4,-90.994793,32.385301
31,1556.1,-90.994793,32.385301
32,1592.4,-90.994793,32.385301
33,1647.3,-90.993049,32.3879
34,1647.3,-90.993049,32.3879
35,1647.3,-90.993049,32.3879
36,1647.3,-90.993049,32.3879
