stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1057.1,-91.096778,32.535108
-2,1078.7,-91.096778,32.535108
-1,1098.8,-91.096778,32.535108
0,1118.9,-91.096778,32.535108
1,1140.7,-91.096778,32.535108
2,1167.9,-91.096778,32.535108
3,1195.0,-91.096778,32.535108
4,1216.3,-91.096778,32.535108
5,1237.6,-91.096778,32.535108
6,1258.9,-91.096778,32.535108
7,1281.2,-91.096778,32.535108
8,1306.3,-91.096778,32.535108
9,1331.4,-91.096778,32.535108
10,1365.4,-91.096778,32.535108
11,1407.3,-91.096778,32.535108
12,1440.9,-91.096778,32.535108
13,1472.6,-91.096778,32.535108
14,1499.9,-91.096778,32.535108
15,1527.2,-91.096778,32.535108
16,1564.6,-91.096778,32.535108
17,1604.5,-91.096778,32.535108
18,1653.7,-91.096778,32.535108
19,1672.7,-91.097733,32.529263
20,1697.9,-91.097733,32.529263
21,1726.2,-91.097733,32.529263
22,1752.8,-91.097733,32.529263
23,1778.5,-91.097733,32.529263
24,1807.9,-91.097733,32.529263
25,1824.5,-91.096778,32.535108
26,1838.4,-91.096778,32.535108
27,1857.3,-91.096778,32.535108
28,1876.2,-91.096778,32.535108
29,1894.1,-91.096778,32.535108
30,1925.8,-91.096778,32.535108
31,2015.3,-91.096778,32.535108
32,2058.7,-91.097733,32.529263
33,2078.5,-91.097733,32.529263
34,2093.4,-91.097733,32.529263
35,2108.4,-91.097733,32.529263
36,2123.3,-91.097733,32.529263
