stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,894.7,-91.066334,32.890158
-2,932.4,-91.066334,32.890158
-1,1000.1,-91.06811,32.887407
0,1031.3,-91.06811,32.887407
1,1138.4,-91.06811,32.887407
2,1185.9,-91.06811,32.887407
3,1252.1,-91.066319,32.893582
4,1315.4,-91.066319,32.893582
5,1392.0,-91.066319,32.893582
6,1405.3,-91.066319,32.893582
7,1418.6,-91.066319,32.893582
8,1431.9,-91.066319,32.893582
9,1598.0,-91.070283,32.885007
10,1709.6,-91.070283,32.885007
11,1865.4,-91.066319,32.893582
12,1896.4,-91.066319,32.893582
13,1948.3,-91.066319,32.893582
14,2002.2,-91.066319,32.893582
15,2073.8,-91.066319,32.893582
16,2109.6,-91.066319,32.893582
17,2150.6,-91.066319,32.893582
18,2248.2,-91.066319,32.893582
19,2320.2,-91.066319,32.893582
20,2373.8,-91.066319,32.893582
21,2481.7,-91.066319,32.893582
22,2573.6,-91.066319,32.893582
23,2631.8,-91.066319,32.893582
24,2677.5,-91.066319,32.893582
25,2815.5,-91.066319,32.893582
26,2934.3,-91.066319,32.893582
27,3162.8,-91.072641,32.882651
28,3179.1,-91.072641,32.882651
29,3195.3,-91.072641,32.882651
30,3211.6,-91.072641,32.882651
31,3236.9,-91.072641,32.882651
32,3270.7,-91.072641,32.882651
33,3347.6,-91.072641,32.882651
34,3417.3,-91.072641,32.882651
35,3500.6,-91.072641,32.882651
36,3553.7,-91.072641,32.882651
