stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.153797,32.780168
-2,0.0,-91.153797,32.780168
-1,0.0,-91.153797,32.780168
0,0.0,-91.153797,32.780168
1,0.0,-91.153797,32.780168
2,0.0,-91.153797,32.780168
3,0.0,-91.153797,32.780168
4,0.0,-91.153797,32.780168
5,0.0,-91.153797,32.780168
6,0.0,-91.153797,32.780168
7,0.0,-91.153797,32.780168
8,0.0,-91.153797,32.780168
9,0.0,-91.153797,32.780168
10,0.0,-91.153797,32.780168
11,0.0,-91.153797,32.780168
12,0.0,-91.153797,32.780168
13,0.0,-91.153797,32.780168
14,0.0,-91.153797,32.780168
15,0.0,-91.153797,32.780168
16,0.0,-91.153797,32.780168
17,0.0,-91.153797,32.780168
18,0.0,-91.153797,32.780168
19,0.0,-91.153797,32.780168
20,0.0,-91.153797,32.780168
21,0.0,-91.153797,32.780168
22,0.0,-91.153797,32.780168
23,0.0,-91.153797,32.780168
24,0.0,-91.153797,32.780168
25,0.0,-91.153797,32.780168
26,0.0,-91.153797,32.780168
27,0.0,-91.153797,32.780168
28,0.0,-91.153797,32.780168
29,0.0,-91.153797,32.780168
30,0.0,-91.153797,32.780168
31,0.0,-91.153797,32.780168
32,0.0,-91.153797,32.780168
33,0.0,-91.153797,32.780168
34,0.0,-91.153797,32.780168
35,0.0,-91.153797,32.780168
36,0.0,-91.153797,32.780168
