stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1362.9,-91.074828,32.735398
-2,1383.5,-91.074828,32.735398
-1,1414.9,-91.074828,32.735398
0,1765.2,-91.074828,32.735398
1,1823.0,-91.074828,32.735398
2,1865.9,-91.074828,32.735398
3,1894.1,-91.099107,32.735075
4,1904.5,-91.099107,32.735075
5,1914.9,-91.099107,32.735075
6,1925.8,-91.099107,32.735075
7,1938.7,-91.099107,32.735075
8,1951.6,-91.099107,32.735075
9,1964.6,-91.099107,32.735075
10,1984.3,-91.099107,32.735075
11,2007.0,-91.099107,32.735075
12,2029.7,-91.099107,32.735075
13,2069.6,-91.099107,32.735075
14,2102.4,-91.099107,32.735075
15,2124.7,-91.099107,32.735075
16,2146.5,-91.099107,32.735075
17,2173.8,-91.099107,32.735075
18,2205.1,-91.099107,32.735075
19,2239.7,-91.099107,32.735075
20,2274.5,-91.099107,32.735075
21,2301.3,-91.099107,32.735075
22,2328.0,-91.099107,32.735075
23,2368.0,-91.099107,32.735075
24,2437.5,-91.099107,32.735075
25,2534.1,-91.095589,32.736344
26,2562.5,-91.095589,32.736344
27,2589.9,-91.095589,32.736344
28,2617.2,-91.095589,32.736344
29,2654.5,-91.095589,32.736344
30,2692.2,-91.095589,32.736344
31,2695.8,-91.088754,32.735568
32,2699.3,-91.088754,32.735568
33,2700.4,-91.088754,32.735568
34,2700.4,-91.088754,32.735568
35,2700.4,-91.088754,32.735568
36,2700.4,-91.088754,32.735568
