stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1429.2,-91.078385,32.879209
-2,1472.4,-91.078385,32.879209
-1,1704.9,-91.086001,32.873239
0,1766.5,-91.086001,32.873239
1,1918.7,-91.086001,32.873239
2,1954.0,-91.078385,32.879209
3,1979.7,-91.078385,32.879209
4,2008.3,-91.078385,32.879209
5,2036.3,-91.078385,32.879209
6,2058.8,-91.078385,32.879209
7,2081.3,-91.078385,32.879209
8,2116.2,-91.078385,32.879209
9,2378.2,-91.078385,32.879209
10,2405.9,-91.078385,32.879209
11,2423.8,-91.078385,32.879209
12,2441.8,-91.078385,32.879209
13,2535.1,-91.078385,32.879209
14,2575.3,-91.078385,32.879209
15,2594.6,-91.078385,32.879209
16,2613.9,-91.078385,32.879209
17,2635.0,-91.078385,32.879209
18,2656.9,-91.078385,32.879209
19,2678.9,-91.078385,32.879209
20,2723.0,-91.078385,32.879209
21,2748.2,-91.078385,32.879209
22,2767.2,-91.078385,32.879209
23,2786.3,-91.078385,32.879209
24,2851.9,-91.078385,32.879209
25,2872.3,-91.078385,32.879209
26,2889.2,-91.078385,32.879209
27,3037.6,-91.078385,32.879209
28,3050.8,-91.078385,32.879209
29,3062.2,-91.078385,32.879209
30,3073.7,-91.078385,32.879209
31,3085.1,-91.078385,32.879209
32,3096.5,-91.078385,32.879209
33,3109.1,-91.078385,32.879209
34,3122.0,-91.078385,32.879209
35,3135.0,-91.078385,32.879209
36,3148.0,-91.078385,32.879209
