stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.155806,32.761489
-2,0.0,-91.155806,32.761489
-1,0.0,-91.155806,32.761489
0,0.0,-91.155806,32.761489
1,0.0,-91.155139,32.762303
2,0.0,-91.155139,32.762303
3,0.0,-91.155139,32.762303
4,229.7,-91.153882,32.793622
5,393.7,-91.153946,32.794448
6,623.4,-91.153642,32.789496
7,721.8,-91.153642,32.789496
8,820.2,-91.153891,32.77548
9,885.8,-91.147246,32.734973
10,885.8,-91.153891,32.77548
11,885.8,-91.153891,32.77548
12,951.4,-91.153891,32.77548
13,984.3,-91.146165,32.734132
14,1017.1,-91.146165,32.734132
15,1017.1,-91.146165,32.734132
16,1049.9,-91.146165,32.734132
17,1082.7,-91.146165,32.734132
18,1148.3,-91.146165,32.734132
19,1213.9,-91.146165,32.734132
20,1509.2,-91.141543,32.731589
21,1574.8,-91.141543,32.731589
22,1804.5,-91.156224,32.749125
23,1804.5,-91.157643,32.753269
24,1804.5,-91.157643,32.753269
25,1804.5,-91.157643,32.753269
26,1804.5,-91.157643,32.753269
27,1804.5,-91.157643,32.753269
28,1804.5,-91.157643,32.753269
29,1837.3,-91.157643,32.753269
30,1837.3,-91.157643,32.753269
31,1870.1,-91.157643,32.753269
32,1870.1,-91.157643,32.753269
33,1870.1,-91.157643,32.753269
34,1870.1,-91.157643,32.753269
35,1870.1,-91.157643,32.753269
36,1870.1,-91.157643,32.753269
