stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1349.4,-91.163812,33.065504
-2,1356.3,-91.163812,33.065504
-1,1363.3,-91.163812,33.065504
0,1370.3,-91.163812,33.065504
1,1376.7,-91.163812,33.065504
2,1382.5,-91.163812,33.065504
3,1388.3,-91.163812,33.065504
4,1394.1,-91.163812,33.065504
5,1399.9,-91.163812,33.065504
6,1405.7,-91.163812,33.065504
7,1411.5,-91.163812,33.065504
8,1417.3,-91.163812,33.065504
9,1423.0,-91.163812,33.065504
10,1428.8,-91.163812,33.065504
11,1434.7,-91.163812,33.065504
12,1440.5,-91.163812,33.065504
13,1446.3,-91.163812,33.065504
14,1452.2,-91.163812,33.065504
15,1458.0,-91.163812,33.065504
16,1463.8,-91.163812,33.065504
17,1468.4,-91.163812,33.065504
18,1471.2,-91.163812,33.065504
19,1474.0,-91.163812,33.065504
20,1476.8,-91.163812,33.065504
21,1479.6,-91.163812,33.065504
22,1482.4,-91.163812,33.065504
23,1485.3,-91.163812,33.065504
24,1488.1,-91.163812,33.065504
25,1490.9,-91.163812,33.065504
26,1493.7,-91.163812,33.065504
27,1496.5,-91.163812,33.065504
28,1503.1,-91.163812,33.065504
29,1512.7,-91.163812,33.065504
30,1522.2,-91.163812,33.065504
31,1531.7,-91.163812,33.065504
32,1541.3,-91.163812,33.065504
33,1545.8,-91.161993,33.062793
34,1545.8,-91.161993,33.062793
35,1545.8,-91.161993,33.062793
36,1545.8,-91.161993,33.062793
