stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1177.6,-91.182537,33.324128
-2,1220.9,-91.182537,33.324128
-1,1243.8,-91.182537,33.324128
0,1280.2,-91.184055,33.319988
1,1324.0,-91.184055,33.319988
2,1343.7,-91.184055,33.319988
3,1363.4,-91.184055,33.319988
4,1377.8,-91.182537,33.324128
5,1395.6,-91.182537,33.324128
6,1406.9,-91.182349,33.315176
7,1427.4,-91.17921,33.306846
8,1443.6,-91.17921,33.306846
9,1463.4,-91.17921,33.306846
10,1491.6,-91.17921,33.306846
11,1512.8,-91.17921,33.306846
12,1523.5,-91.17921,33.306846
13,1534.1,-91.17921,33.306846
14,1544.8,-91.17921,33.306846
15,1555.5,-91.17921,33.306846
16,1566.2,-91.17921,33.306846
17,1580.9,-91.17921,33.306846
18,1597.2,-91.17921,33.306846
19,1613.5,-91.17921,33.306846
20,1631.9,-91.17921,33.306846
21,1656.1,-91.17921,33.306846
22,1680.4,-91.17921,33.306846
23,1701.1,-91.17921,33.306846
24,1721.0,-91.17921,33.306846
25,1740.9,-91.17921,33.306846
26,1763.3,-91.17921,33.306846
27,1786.8,-91.17921,33.306846
28,1809.3,-91.17921,33.306846
29,1826.0,-91.17921,33.306846
30,1842.7,-91.17921,33.306846
31,1859.5,-91.17921,33.306846
32,1878.5,-91.17921,33.306846
33,1903.4,-91.17921,33.306846
34,1925.6,-91.17921,33.306846
35,1941.3,-91.17921,33.306846
36,1957.0,-91.17921,33.306846
