stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,325.3,-91.116667,33.416174
-2,396.3,-91.116667,33.416174
-1,458.0,-91.118282,33.421792
0,482.4,-91.115133,33.392998
1,490.6,-91.115133,33.392998
2,706.0,-91.115133,33.392998
3,715.8,-91.115133,33.392998
4,725.6,-91.115133,33.392998
5,735.4,-91.115133,33.392998
6,745.3,-91.115133,33.392998
7,968.5,-91.114807,33.366838
8,990.9,-91.114807,33.366838
9,1039.2,-91.114807,33.366838
10,1100.3,-91.114807,33.366838
11,1133.5,-91.114807,33.366838
12,1211.2,-91.114807,33.366838
13,1240.5,-91.114807,33.366838
14,1278.7,-91.114807,33.366838
15,1300.4,-91.116058,33.40462
16,1300.4,-91.116058,33.40462
17,1300.4,-91.116058,33.40462
18,1300.4,-91.116058,33.40462
19,1300.4,-91.116058,33.40462
20,1300.4,-91.116058,33.40462
21,1300.4,-91.116058,33.40462
22,1300.4,-91.116058,33.40462
23,1300.4,-91.116058,33.40462
24,1300.4,-91.116058,33.40462
25,1300.4,-91.116058,33.40462
26,1300.4,-91.116058,33.40462
27,1300.4,-91.116058,33.40462
28,1300.4,-91.116058,33.40462
29,1300.4,-91.116058,33.40462
30,1300.4,-91.116058,33.40462
31,1300.4,-91.116058,33.40462
32,1300.4,-91.116058,33.40462
33,1300.4,-91.116058,33.40462
34,1300.4,-91.116058,33.40462
35,1300.4,-91.116058,33.40462
36,1300.4,-91.116058,33.40462
