stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1597.2,-91.147373,33.634389
-2,1646.3,-91.147373,33.634389
-1,1702.8,-91.147373,33.634389
0,1724.3,-91.147373,33.634389
1,1745.8,-91.147373,33.634389
2,1773.5,-91.147373,33.634389
3,1807.7,-91.147373,33.634389
4,1862.9,-91.147373,33.634389
5,1887.7,-91.147373,33.634389
6,1916.1,-91.147373,33.634389
7,1948.3,-91.147373,33.634389
8,1999.8,-91.147373,33.634389
9,2020.1,-91.147373,33.634389
10,2040.1,-91.147373,33.634389
11,2048.3,-91.152541,33.638127
12,2048.3,-91.152541,33.638127
13,2048.3,-91.152541,33.638127
14,2048.3,-91.152541,33.638127
15,2048.3,-91.152541,33.638127
16,2048.3,-91.152541,33.638127
17,2048.3,-91.152541,33.638127
18,2048.3,-91.152541,33.638127
19,2048.3,-91.152541,33.638127
20,2048.3,-91.152541,33.638127
21,2048.3,-91.152541,33.638127
22,2048.3,-91.152541,33.638127
23,2048.3,-91.152541,33.638127
24,2048.3,-91.152541,33.638127
25,2048.3,-91.152541,33.638127
26,2048.3,-91.152541,33.638127
27,2048.3,-91.152541,33.638127
28,2048.3,-91.152541,33.638127
29,2048.3,-91.152541,33.638127
30,2048.3,-91.152541,33.638127
31,2048.3,-91.152541,33.638127
32,2048.3,-91.152541,33.638127
33,2048.3,-91.152541,33.638127
34,2048.3,-91.152541,33.638127
35,2048.3,-91.152541,33.638127
36,2048.3,-91.152541,33.638127
