stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,883.0,-91.130083,33.763273
-2,1000.5,-91.130083,33.763273
-1,1015.6,-91.130083,33.763273
0,1030.7,-91.130083,33.763273
1,1045.9,-91.130083,33.763273
2,1064.7,-91.130083,33.763273
3,1085.3,-91.130083,33.763273
4,1113.8,-91.130083,33.763273
5,1158.0,-91.130083,33.763273
6,1192.6,-91.130083,33.763273
7,1226.7,-91.130083,33.763273
8,1259.4,-91.130083,33.763273
9,1289.6,-91.130083,33.763273
10,1361.3,-91.130083,33.763273
11,1415.7,-91.130083,33.763273
12,1443.9,-91.127608,33.765444
13,1443.9,-91.127608,33.765444
14,1443.9,-91.127608,33.765444
15,1443.9,-91.127608,33.765444
16,1443.9,-91.127608,33.765444
17,1443.9,-91.127608,33.765444
18,1443.9,-91.127608,33.765444
19,1443.9,-91.127608,33.765444
20,1443.9,-91.127608,33.765444
21,1443.9,-91.127608,33.765444
22,1443.9,-91.127608,33.765444
23,1443.9,-91.127608,33.765444
24,1443.9,-91.127608,33.765444
25,1443.9,-91.127608,33.765444
26,1443.9,-91.127608,33.765444
27,1443.9,-91.127608,33.765444
28,1443.9,-91.127608,33.765444
29,1443.9,-91.127608,33.765444
30,1443.9,-91.127608,33.765444
31,1443.9,-91.127608,33.765444
32,1443.9,-91.127608,33.765444
33,1443.9,-91.127608,33.765444
34,1443.9,-91.127608,33.765444
35,1443.9,-91.127608,33.765444
36,1443.9,-91.127608,33.765444
