stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,241.1,-91.07379,33.862052
-14,241.1,-91.07379,33.862052
-13,241.1,-91.07379,33.862052
-12,241.1,-91.07379,33.862052
-11,241.1,-91.07379,33.862052
-10,241.1,-91.07379,33.862052
-9,241.1,-91.07379,33.862052
-8,241.1,-91.07379,33.862052
-7,241.1,-91.07379,33.862052
-6,241.1,-91.07379,33.862052
-5,241.1,-91.07379,33.862052
-4,241.1,-91.07379,33.862052
-3,241.1,-91.07379,33.862052
-2,241.1,-91.07379,33.862052
-1,241.1,-91.07379,33.862052
0,241.1,-91.07379,33.862052
1,241.1,-91.07379,33.862052
2,241.1,-91.07379,33.862052
3,241.1,-91.07379,33.862052
4,241.1,-91.07379,33.862052
5,241.1,-91.07379,33.862052
6,241.1,-91.07379,33.862052
7,241.1,-91.07379,33.862052
8,241.1,-91.07379,33.862052
9,241.1,-91.07379,33.862052
10,241.1,-91.07379,33.862052
11,241.1,-91.07379,33.862052
12,241.1,-91.07379,33.862052
13,241.1,-91.07379,33.862052
14,241.1,-91.07379,33.862052
15,241.1,-91.07379,33.862052
16,241.1,-91.07379,33.862052
17,241.1,-91.07379,33.862052
18,241.1,-91.07379,33.862052
19,241.1,-91.07379,33.862052
