stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,866.2,-91.052369,33.778486
-14,881.4,-91.052369,33.778486
-13,896.5,-91.052369,33.778486
-12,910.4,-91.052369,33.778486
-11,923.8,-91.052369,33.778486
-10,937.2,-91.052369,33.778486
-9,951.4,-91.052369,33.778486
-8,978.9,-91.052369,33.778486
-7,1004.2,-91.052369,33.778486
-6,1022.8,-91.052369,33.778486
-5,1041.3,-91.052369,33.778486
-4,1049.6,-91.052369,33.778486
-3,1049.6,-91.052369,33.778486
-2,1049.6,-91.052369,33.778486
-1,1049.6,-91.052369,33.778486
0,1049.6,-91.052369,33.778486
1,1049.6,-91.052369,33.778486
2,1049.6,-91.052369,33.778486
3,1049.6,-91.052369,33.778486
4,1049.6,-91.052369,33.778486
5,1049.6,-91.052369,33.778486
6,1049.6,-91.052369,33.778486
7,1049.6,-91.052369,33.778486
8,1049.6,-91.052369,33.778486
9,1049.6,-91.052369,33.778486
10,1049.6,-91.052369,33.778486
11,1049.6,-91.052369,33.778486
12,1049.6,-91.052369,33.778486
13,1049.6,-91.052369,33.778486
14,1049.6,-91.052369,33.778486
15,1049.6,-91.052369,33.778486
16,1049.6,-91.052369,33.778486
17,1049.6,-91.052369,33.778486
18,1049.6,-91.052369,33.778486
19,1049.6,-91.052369,33.778486
