stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,630.1,-91.02884,33.945526
-14,637.9,-91.02884,33.945526
-13,730.4,-91.030672,33.946117
-12,806.5,-91.009981,33.927852
-11,816.4,-91.010121,33.932228
-10,853.2,-91.010121,33.932228
-9,865.3,-91.010121,33.932228
-8,873.6,-91.010121,33.932228
-7,894.8,-91.010121,33.932228
-6,904.2,-91.010121,33.932228
-5,925.8,-91.010121,33.932228
-4,930.5,-91.010121,33.932228
-3,963.4,-91.010121,33.932228
-2,995.4,-91.010121,33.932228
-1,1004.4,-91.010121,33.932228
0,1016.2,-91.010121,33.932228
1,1030.2,-91.010121,33.932228
2,1051.8,-91.009981,33.927852
3,1051.9,-91.009981,33.927852
4,1052.0,-91.009981,33.927852
5,1052.0,-91.009981,33.927852
6,1052.1,-91.009981,33.927852
7,1052.2,-91.009981,33.927852
8,1052.3,-91.009981,33.927852
9,1052.3,-91.009981,33.927852
10,1052.4,-91.009981,33.927852
11,1052.5,-91.009981,33.927852
12,1052.6,-91.009981,33.927852
13,1052.6,-91.009981,33.927852
14,1052.7,-91.009981,33.927852
15,1052.8,-91.009981,33.927852
16,1052.8,-91.009981,33.927852
17,1541.4,-91.010724,33.934432
18,1541.4,-91.010724,33.934432
19,1541.4,-91.010724,33.934432
