stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1579.1,-91.075647,33.952555
-14,1584.1,-91.075647,33.952555
-13,1589.1,-91.075647,33.952555
-12,1594.1,-91.075647,33.952555
-11,1599.0,-91.075647,33.952555
-10,1604.0,-91.075647,33.952555
-9,1609.0,-91.075647,33.952555
-8,1614.0,-91.075647,33.952555
-7,1619.7,-91.075647,33.952555
-6,1625.9,-91.075647,33.952555
-5,1632.2,-91.075647,33.952555
-4,1638.4,-91.075647,33.952555
-3,1644.6,-91.075647,33.952555
-2,1650.9,-91.075647,33.952555
-1,1657.1,-91.075647,33.952555
0,1663.4,-91.075647,33.952555
1,1669.6,-91.075647,33.952555
2,1675.8,-91.075647,33.952555
3,1682.1,-91.075647,33.952555
4,1688.3,-91.075647,33.952555
5,1694.6,-91.075647,33.952555
6,1700.8,-91.075647,33.952555
7,1707.0,-91.075647,33.952555
8,1713.3,-91.075647,33.952555
9,1719.4,-91.075647,33.952555
10,1723.6,-91.075647,33.952555
11,1727.8,-91.075647,33.952555
12,1732.1,-91.075647,33.952555
13,1736.3,-91.075647,33.952555
14,1740.5,-91.075647,33.952555
15,1744.7,-91.075647,33.952555
16,1748.9,-91.075647,33.952555
17,1755.9,-91.075647,33.952555
18,1763.8,-91.075647,33.952555
19,1771.8,-91.075647,33.952555
