stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,625.3,-90.94795,34.026145
-14,726.4,-90.94795,34.026145
-13,750.1,-90.94795,34.026145
-12,824.7,-90.90339,34.02305
-11,850.5,-90.90339,34.02305
-10,865.6,-90.90339,34.02305
-9,880.8,-90.90339,34.02305
-8,895.9,-90.90339,34.02305
-7,918.4,-90.90339,34.02305
-6,942.6,-90.90339,34.02305
-5,987.0,-90.90339,34.02305
-4,1013.1,-90.90339,34.02305
-3,1030.7,-90.90339,34.02305
-2,1048.2,-90.90339,34.02305
-1,1070.5,-90.90339,34.02305
0,1093.2,-90.90339,34.02305
1,1116.4,-90.90339,34.02305
2,1139.9,-90.90339,34.02305
3,1165.9,-90.90339,34.02305
4,1193.7,-90.90339,34.02305
5,1212.1,-90.90339,34.02305
6,1227.6,-90.90339,34.02305
7,1243.1,-90.90339,34.02305
8,1534.2,-90.910261,34.021813
9,1546.7,-90.910261,34.021813
10,1560.2,-90.910261,34.021813
11,1574.0,-90.910261,34.021813
12,1587.7,-90.910261,34.021813
13,1601.4,-90.910261,34.021813
14,1610.2,-90.917185,34.020448
15,1616.0,-90.917185,34.020448
16,1621.7,-90.917185,34.020448
17,1627.5,-90.917185,34.020448
18,1633.3,-90.917185,34.020448
19,1639.1,-90.917185,34.020448
