stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.954421,34.027523
-14,0.0,-90.953755,34.027422
-13,0.0,-90.951798,34.027149
-12,0.0,-90.949129,34.026568
-11,0.0,-90.94784,34.02633
-10,0.0,-90.94784,34.02633
-9,0.0,-90.94784,34.02633
-8,0.0,-90.947214,34.0263
-7,0.0,-90.946524,34.026134
-6,0.0,-90.945924,34.026026
-5,0.0,-90.944689,34.025685
-4,0.0,-90.944689,34.025685
-3,0.0,-90.944689,34.025685
-2,568.3,-90.949808,34.026766
-1,1084.0,-90.979553,34.023128
0,1092.0,-90.979553,34.023128
1,1100.0,-90.979553,34.023128
2,1108.0,-90.979553,34.023128
3,1149.8,-90.979553,34.023128
4,1262.1,-90.979553,34.023128
5,1270.9,-90.979553,34.023128
6,1278.0,-90.979553,34.023128
7,1284.6,-90.979553,34.023128
8,1291.2,-90.979553,34.023128
9,1297.7,-90.979553,34.023128
10,1328.6,-90.979553,34.023128
11,1346.0,-90.979553,34.023128
12,1357.9,-90.979553,34.023128
13,1407.4,-90.979553,34.023128
14,1415.7,-90.979553,34.023128
15,1501.7,-90.979553,34.023128
16,1549.6,-90.979553,34.023128
17,1684.0,-90.979553,34.023128
18,1811.6,-90.976939,34.024202
19,1823.6,-90.976939,34.024202
