stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.965211,34.02572
-14,79.5,-90.96585,34.025476
-13,394.1,-90.96253,34.02561
-12,405.0,-90.96253,34.02561
-11,657.4,-90.97325,34.025601
-10,723.7,-90.972538,34.025813
-9,824.6,-90.971349,34.026427
-8,852.6,-90.971998,34.025985
-7,929.2,-90.971349,34.026427
-6,992.5,-90.979254,34.023499
-5,1018.1,-90.979254,34.023499
-4,1076.3,-90.979254,34.023499
-3,1142.1,-90.978345,34.023866
-2,1160.3,-90.963446,34.025715
-1,1160.3,-90.963446,34.025715
0,1160.3,-90.963446,34.025715
1,1160.3,-90.963446,34.025715
2,1160.3,-90.963446,34.025715
3,1160.3,-90.963446,34.025715
4,1160.3,-90.963446,34.025715
5,1160.3,-90.963446,34.025715
6,1160.3,-90.963446,34.025715
7,1160.3,-90.963446,34.025715
8,1160.3,-90.963446,34.025715
9,1160.3,-90.963446,34.025715
10,1160.3,-90.963446,34.025715
11,1160.3,-90.963446,34.025715
12,1160.3,-90.963446,34.025715
13,1160.3,-90.963446,34.025715
14,1160.3,-90.963446,34.025715
15,1160.3,-90.963446,34.025715
16,1160.3,-90.963446,34.025715
17,1160.3,-90.963446,34.025715
18,1160.3,-90.963446,34.025715
19,1160.3,-90.963446,34.025715
