stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-91.029353,33.990918
-14,0.0,-91.029353,33.990918
-13,0.0,-91.00643,34.00706
-12,0.0,-91.00643,34.00706
-11,215.8,-91.006745,34.005964
-10,224.4,-91.006745,34.005964
-9,918.8,-91.019439,33.997654
-8,977.9,-91.029925,33.989751
-7,977.9,-91.029925,33.989751
-6,977.9,-91.029925,33.989751
-5,977.9,-91.029925,33.989751
-4,977.9,-91.029925,33.989751
-3,977.9,-91.029925,33.989751
-2,977.9,-91.029925,33.989751
-1,977.9,-91.029925,33.989751
0,977.9,-91.029925,33.989751
1,977.9,-91.029925,33.989751
2,977.9,-91.029925,33.989751
3,977.9,-91.029925,33.989751
4,977.9,-91.029925,33.989751
5,977.9,-91.029925,33.989751
6,977.9,-91.029925,33.989751
7,977.9,-91.029925,33.989751
8,977.9,-91.029925,33.989751
9,977.9,-91.029925,33.989751
10,977.9,-91.029925,33.989751
11,977.9,-91.029925,33.989751
12,977.9,-91.029925,33.989751
13,977.9,-91.029925,33.989751
14,977.9,-91.029925,33.989751
15,977.9,-91.029925,33.989751
16,977.9,-91.029925,33.989751
17,977.9,-91.029925,33.989751
18,977.9,-91.029925,33.989751
19,977.9,-91.029925,33.989751
