stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,949.7,-90.645057,34.388575
-14,995.5,-90.645057,34.388575
-13,1018.5,-90.645057,34.388575
-12,1052.7,-90.645057,34.388575
-11,1161.2,-90.644193,34.388885
-10,1168.8,-90.644193,34.388885
-9,1176.5,-90.644193,34.388885
-8,1182.9,-90.645057,34.388575
-7,1187.7,-90.645057,34.388575
-6,1192.5,-90.645057,34.388575
-5,1197.3,-90.645057,34.388575
-4,1202.4,-90.645057,34.388575
-3,1207.6,-90.645057,34.388575
-2,1212.7,-90.645057,34.388575
-1,1217.9,-90.645057,34.388575
0,1218.1,-90.645057,34.388575
1,1218.1,-90.645057,34.388575
2,1218.1,-90.645057,34.388575
3,1218.1,-90.645057,34.388575
4,1218.1,-90.645057,34.388575
5,1218.1,-90.645057,34.388575
6,1218.1,-90.645057,34.388575
7,1218.1,-90.645057,34.388575
8,1218.1,-90.645057,34.388575
9,1218.1,-90.645057,34.388575
10,1218.1,-90.645057,34.388575
11,1218.1,-90.645057,34.388575
12,1218.1,-90.645057,34.388575
13,1218.1,-90.645057,34.388575
14,1218.1,-90.645057,34.388575
15,1218.1,-90.645057,34.388575
16,1218.1,-90.645057,34.388575
17,1218.1,-90.645057,34.388575
18,1218.1,-90.645057,34.388575
19,1218.1,-90.645057,34.388575
