stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.428762,34.823199
-14,251.7,-90.42795,34.822902
-13,321.0,-90.42795,34.822902
-12,839.8,-90.424011,34.823509
-11,901.1,-90.407765,34.825705
-10,901.1,-90.407765,34.825705
-9,901.1,-90.407765,34.825705
-8,901.1,-90.407765,34.825705
-7,901.1,-90.407765,34.825705
-6,901.1,-90.407765,34.825705
-5,901.1,-90.407765,34.825705
-4,901.1,-90.407765,34.825705
-3,901.1,-90.407765,34.825705
-2,901.1,-90.407765,34.825705
-1,901.1,-90.407765,34.825705
0,901.1,-90.407765,34.825705
1,901.1,-90.407765,34.825705
2,901.1,-90.407765,34.825705
3,901.1,-90.407765,34.825705
4,901.1,-90.407765,34.825705
5,901.1,-90.407765,34.825705
6,901.1,-90.407765,34.825705
7,901.1,-90.407765,34.825705
8,901.1,-90.407765,34.825705
9,901.1,-90.407765,34.825705
10,901.1,-90.407765,34.825705
11,901.1,-90.407765,34.825705
12,901.1,-90.407765,34.825705
13,901.1,-90.407765,34.825705
14,901.1,-90.407765,34.825705
15,901.1,-90.407765,34.825705
16,901.1,-90.407765,34.825705
17,901.1,-90.407765,34.825705
18,901.1,-90.407765,34.825705
19,901.1,-90.407765,34.825705
