stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.247627,34.952168
-14,0.0,-90.247627,34.952168
-13,229.7,-90.246321,34.951315
-12,262.5,-90.246321,34.951315
-11,295.3,-90.246321,34.951315
-10,754.6,-90.242373,34.939686
-9,754.6,-90.242373,34.939686
-8,787.4,-90.242373,34.939686
-7,820.2,-90.242234,34.938858
-6,853.0,-90.242234,34.938858
-5,853.0,-90.242234,34.938858
-4,984.3,-90.242234,34.938858
-3,984.3,-90.242234,34.938858
-2,984.3,-90.242234,34.938858
-1,984.3,-90.242234,34.938858
0,984.3,-90.242234,34.938858
1,984.3,-90.242234,34.938858
2,984.3,-90.242234,34.938858
3,984.3,-90.242234,34.938858
4,984.3,-90.242234,34.938858
5,984.3,-90.242234,34.938858
6,984.3,-90.242234,34.938858
7,984.3,-90.242234,34.938858
8,984.3,-90.242234,34.938858
9,984.3,-90.242234,34.938858
10,984.3,-90.242234,34.938858
11,984.3,-90.242234,34.938858
12,984.3,-90.242234,34.938858
13,984.3,-90.242234,34.938858
14,984.3,-90.242234,34.938858
15,984.3,-90.242234,34.938858
16,984.3,-90.242234,34.938858
17,984.3,-90.242234,34.938858
18,984.3,-90.242234,34.938858
19,984.3,-90.242234,34.938858
