stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.289679,34.886311
-14,557.7,-90.294588,34.886193
-13,656.2,-90.296604,34.885723
-12,885.8,-90.295596,34.885975
-11,1213.9,-90.283762,34.883925
-10,1213.9,-90.283762,34.883925
-9,1213.9,-90.283762,34.883925
-8,1213.9,-90.283762,34.883925
-7,1213.9,-90.283762,34.883925
-6,1213.9,-90.283762,34.883925
-5,1213.9,-90.283762,34.883925
-4,1213.9,-90.283762,34.883925
-3,1213.9,-90.283762,34.883925
-2,1213.9,-90.283762,34.883925
-1,1213.9,-90.283762,34.883925
0,1213.9,-90.283762,34.883925
1,1213.9,-90.283762,34.883925
2,1213.9,-90.283762,34.883925
3,1213.9,-90.283762,34.883925
4,1213.9,-90.283762,34.883925
5,1213.9,-90.283762,34.883925
6,1213.9,-90.283762,34.883925
7,1213.9,-90.283762,34.883925
8,1213.9,-90.283762,34.883925
9,1213.9,-90.283762,34.883925
10,1213.9,-90.283762,34.883925
11,1213.9,-90.283762,34.883925
12,1213.9,-90.283762,34.883925
13,1213.9,-90.283762,34.883925
14,1213.9,-90.283762,34.883925
15,1213.9,-90.283762,34.883925
16,1213.9,-90.283762,34.883925
17,1213.9,-90.283762,34.883925
18,1213.9,-90.283762,34.883925
19,1213.9,-90.283762,34.883925
