stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.430757,34.822913
-14,0.0,-90.430757,34.822913
-13,0.0,-90.420515,34.824086
-12,87.2,-90.418431,34.823552
-11,275.1,-90.418977,34.823438
-10,726.3,-90.427867,34.822472
-9,730.4,-90.434708,34.823412
-8,730.4,-90.434708,34.823412
-7,730.4,-90.434708,34.823412
-6,730.4,-90.434708,34.823412
-5,730.4,-90.434708,34.823412
-4,730.4,-90.434708,34.823412
-3,730.4,-90.434708,34.823412
-2,730.4,-90.434708,34.823412
-1,730.4,-90.434708,34.823412
0,730.4,-90.434708,34.823412
1,730.4,-90.434708,34.823412
2,730.4,-90.434708,34.823412
3,730.4,-90.434708,34.823412
4,730.4,-90.434708,34.823412
5,730.4,-90.434708,34.823412
6,730.4,-90.434708,34.823412
7,730.4,-90.434708,34.823412
8,730.4,-90.434708,34.823412
9,730.4,-90.434708,34.823412
10,730.4,-90.434708,34.823412
11,730.4,-90.434708,34.823412
12,730.4,-90.434708,34.823412
13,730.4,-90.434708,34.823412
14,730.4,-90.434708,34.823412
15,730.4,-90.434708,34.823412
16,730.4,-90.434708,34.823412
17,730.4,-90.434708,34.823412
18,730.4,-90.434708,34.823412
19,730.4,-90.434708,34.823412
