stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,883.5,-90.568393,34.727812
-14,886.3,-90.568393,34.727812
-13,889.0,-90.568393,34.727812
-12,891.8,-90.568393,34.727812
-11,894.6,-90.568393,34.727812
-10,897.3,-90.568393,34.727812
-9,897.6,-90.567532,34.733664
-8,897.6,-90.567532,34.733664
-7,897.6,-90.567532,34.733664
-6,897.6,-90.567532,34.733664
-5,897.6,-90.567532,34.733664
-4,897.6,-90.567532,34.733664
-3,897.6,-90.567532,34.733664
-2,897.6,-90.567532,34.733664
-1,897.6,-90.567532,34.733664
0,897.6,-90.567532,34.733664
1,897.6,-90.567532,34.733664
2,897.6,-90.567532,34.733664
3,897.6,-90.567532,34.733664
4,897.6,-90.567532,34.733664
5,897.6,-90.567532,34.733664
6,897.6,-90.567532,34.733664
7,897.6,-90.567532,34.733664
8,897.6,-90.567532,34.733664
9,897.6,-90.567532,34.733664
10,897.6,-90.567532,34.733664
11,897.6,-90.567532,34.733664
12,897.6,-90.567532,34.733664
13,897.6,-90.567532,34.733664
14,897.6,-90.567532,34.733664
15,897.6,-90.567532,34.733664
16,897.6,-90.567532,34.733664
17,897.6,-90.567532,34.733664
18,897.6,-90.567532,34.733664
19,897.6,-90.567532,34.733664
