stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,799.9,-90.584456,34.605708
-14,809.6,-90.584456,34.605708
-13,816.2,-90.588474,34.61243
-12,819.5,-90.588474,34.61243
-11,822.9,-90.588474,34.61243
-10,832.5,-90.584601,34.605948
-9,841.3,-90.584601,34.605948
-8,850.1,-90.584601,34.605948
-7,858.9,-90.584601,34.605948
-6,864.9,-90.585649,34.607319
-5,867.2,-90.585649,34.607319
-4,869.6,-90.585649,34.607319
-3,871.9,-90.585649,34.607319
-2,874.3,-90.585649,34.607319
-1,876.7,-90.585649,34.607319
0,879.0,-90.585649,34.607319
1,881.4,-90.585649,34.607319
2,883.8,-90.585649,34.607319
3,886.1,-90.585649,34.607319
4,888.5,-90.585649,34.607319
5,890.8,-90.585649,34.607319
6,893.2,-90.585649,34.607319
7,895.6,-90.585649,34.607319
8,897.9,-90.585649,34.607319
9,900.3,-90.585649,34.607319
10,902.7,-90.585649,34.607319
11,905.0,-90.585649,34.607319
12,907.4,-90.585649,34.607319
13,909.7,-90.585649,34.607319
14,912.1,-90.585649,34.607319
15,915.2,-90.585649,34.607319
16,919.2,-90.586001,34.607775
17,920.6,-90.586001,34.607775
18,922.0,-90.586001,34.607775
19,929.9,-90.586001,34.607775
