stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,815.5,-90.285642,35.019234
-14,826.1,-90.285642,35.019234
-13,836.8,-90.285642,35.019234
-12,847.5,-90.285642,35.019234
-11,860.9,-90.285642,35.019234
-10,875.3,-90.285642,35.019234
-9,889.7,-90.285642,35.019234
-8,950.1,-90.285642,35.019234
-7,959.6,-90.285642,35.019234
-6,969.1,-90.285642,35.019234
-5,978.6,-90.285642,35.019234
-4,988.1,-90.285642,35.019234
-3,997.7,-90.285642,35.019234
-2,1011.4,-90.285642,35.019234
-1,1026.1,-90.285642,35.019234
0,1040.7,-90.285642,35.019234
1,1061.6,-90.285642,35.019234
2,1091.0,-90.285642,35.019234
3,1126.9,-90.285642,35.019234
4,1149.2,-90.285642,35.019234
5,1149.2,-90.285642,35.019234
6,1149.2,-90.285642,35.019234
7,1149.2,-90.285642,35.019234
8,1149.2,-90.285642,35.019234
9,1149.2,-90.285642,35.019234
10,1149.2,-90.285642,35.019234
11,1149.2,-90.285642,35.019234
12,1149.2,-90.285642,35.019234
13,1149.2,-90.285642,35.019234
14,1149.2,-90.285642,35.019234
15,1149.2,-90.285642,35.019234
16,1149.2,-90.285642,35.019234
17,1149.2,-90.285642,35.019234
18,1149.2,-90.285642,35.019234
19,1149.2,-90.285642,35.019234
