stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,393.7,-90.057743,35.168116
-14,426.5,-90.057743,35.168116
-13,492.1,-90.057743,35.168116
-12,524.9,-90.057743,35.168116
-11,1607.6,-90.066447,35.13536
-10,1640.4,-90.066329,35.138654
-9,1673.2,-90.066329,35.138654
-8,1771.7,-90.081791,35.120072
-7,1771.7,-90.081791,35.120072
-6,1771.7,-90.081791,35.120072
-5,1771.7,-90.081791,35.120072
-4,1771.7,-90.081791,35.120072
-3,1771.7,-90.081791,35.120072
-2,1771.7,-90.081791,35.120072
-1,1771.7,-90.081791,35.120072
0,1771.7,-90.081791,35.120072
1,1771.7,-90.081791,35.120072
2,1771.7,-90.081791,35.120072
3,1771.7,-90.081791,35.120072
4,1771.7,-90.081791,35.120072
5,1771.7,-90.081791,35.120072
6,1771.7,-90.081791,35.120072
7,1771.7,-90.081791,35.120072
8,1771.7,-90.081791,35.120072
9,1771.7,-90.081791,35.120072
10,1771.7,-90.081791,35.120072
11,1771.7,-90.081791,35.120072
12,1771.7,-90.081791,35.120072
13,1771.7,-90.081791,35.120072
14,1771.7,-90.081791,35.120072
15,1771.7,-90.081791,35.120072
16,1771.7,-90.081791,35.120072
17,1771.7,-90.081791,35.120072
18,1771.7,-90.081791,35.120072
19,1771.7,-90.081791,35.120072
