stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.068008,35.209724
-14,0.0,-90.068008,35.209724
-13,0.0,-90.068008,35.209724
-12,0.0,-90.068008,35.209724
-11,0.0,-90.068008,35.209724
-10,951.4,-90.064888,35.199699
-9,984.3,-90.065192,35.200531
-8,1017.1,-90.064888,35.199699
-7,1082.7,-90.064888,35.199699
-6,1181.1,-90.060174,35.188871
-5,1246.7,-90.059857,35.187215
-4,1246.7,-90.059857,35.187215
-3,1542.0,-90.059499,35.185558
-2,1542.0,-90.059499,35.185558
-1,1542.0,-90.059499,35.185558
0,1542.0,-90.059499,35.185558
1,1542.0,-90.059499,35.185558
2,1542.0,-90.059499,35.185558
3,1542.0,-90.059499,35.185558
4,1542.0,-90.059499,35.185558
5,1542.0,-90.059499,35.185558
6,1542.0,-90.059499,35.185558
7,1542.0,-90.059499,35.185558
8,1542.0,-90.059499,35.185558
9,1542.0,-90.059499,35.185558
10,1542.0,-90.059499,35.185558
11,1542.0,-90.059499,35.185558
12,1542.0,-90.059499,35.185558
13,1542.0,-90.059499,35.185558
14,1542.0,-90.059499,35.185558
15,1542.0,-90.059499,35.185558
16,1542.0,-90.059499,35.185558
17,1542.0,-90.059499,35.185558
18,1542.0,-90.059499,35.185558
19,1542.0,-90.059499,35.185558
