stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,992.4,-90.036383,35.414504
-14,1009.4,-90.036383,35.414504
-13,1030.9,-90.036383,35.414504
-12,1210.1,-90.036383,35.414504
-11,1240.8,-90.036383,35.414504
-10,1736.6,-90.036383,35.414504
-9,2271.6,-90.049467,35.414434
-8,2303.9,-90.049467,35.414434
-7,2306.8,-90.049467,35.414434
-6,2306.8,-90.049467,35.414434
-5,2306.8,-90.049467,35.414434
-4,2306.8,-90.049467,35.414434
-3,2306.8,-90.049467,35.414434
-2,2306.8,-90.049467,35.414434
-1,2306.8,-90.049467,35.414434
0,2306.8,-90.049467,35.414434
1,2306.8,-90.049467,35.414434
2,2306.8,-90.049467,35.414434
3,2306.8,-90.049467,35.414434
4,2306.8,-90.049467,35.414434
5,2306.8,-90.049467,35.414434
6,2306.8,-90.049467,35.414434
7,2306.8,-90.049467,35.414434
8,2306.8,-90.049467,35.414434
9,2306.8,-90.049467,35.414434
10,2306.8,-90.049467,35.414434
11,2306.8,-90.049467,35.414434
12,2306.8,-90.049467,35.414434
13,2306.8,-90.049467,35.414434
14,2306.8,-90.049467,35.414434
15,2306.8,-90.049467,35.414434
16,2306.8,-90.049467,35.414434
17,2306.8,-90.049467,35.414434
18,2306.8,-90.049467,35.414434
19,2306.8,-90.049467,35.414434
