stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1634.8,-90.0623,35.405276
-14,1650.9,-90.0623,35.405276
-13,1650.9,-90.0623,35.405276
-12,1650.9,-90.0623,35.405276
-11,1650.9,-90.0623,35.405276
-10,1650.9,-90.0623,35.405276
-9,1650.9,-90.0623,35.405276
-8,1650.9,-90.0623,35.405276
-7,1650.9,-90.0623,35.405276
-6,1650.9,-90.0623,35.405276
-5,1650.9,-90.0623,35.405276
-4,1650.9,-90.0623,35.405276
-3,1650.9,-90.0623,35.405276
-2,1650.9,-90.0623,35.405276
-1,1650.9,-90.0623,35.405276
0,1650.9,-90.0623,35.405276
1,1650.9,-90.0623,35.405276
2,1650.9,-90.0623,35.405276
3,1650.9,-90.0623,35.405276
4,1650.9,-90.0623,35.405276
5,1650.9,-90.0623,35.405276
6,1650.9,-90.0623,35.405276
7,1650.9,-90.0623,35.405276
8,1650.9,-90.0623,35.405276
9,1650.9,-90.0623,35.405276
10,1650.9,-90.0623,35.405276
11,1650.9,-90.0623,35.405276
12,1650.9,-90.0623,35.405276
13,1650.9,-90.0623,35.405276
14,1650.9,-90.0623,35.405276
15,1650.9,-90.0623,35.405276
16,1650.9,-90.0623,35.405276
17,1650.9,-90.0623,35.405276
18,1650.9,-90.0623,35.405276
19,1650.9,-90.0623,35.405276
