stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1675.9,-90.066805,35.137967
-14,1675.9,-90.066805,35.137967
-13,1675.9,-90.066805,35.137967
-12,1675.9,-90.066805,35.137967
-11,1675.9,-90.066805,35.137967
-10,1675.9,-90.066805,35.137967
-9,1675.9,-90.066805,35.137967
-8,1675.9,-90.066805,35.137967
-7,1675.9,-90.066805,35.137967
-6,1675.9,-90.066805,35.137967
-5,1675.9,-90.066805,35.137967
-4,1675.9,-90.066805,35.137967
-3,1675.9,-90.066805,35.137967
-2,1675.9,-90.066805,35.137967
-1,1675.9,-90.066805,35.137967
0,1675.9,-90.066805,35.137967
1,1675.9,-90.066805,35.137967
2,1675.9,-90.066805,35.137967
3,1675.9,-90.066805,35.137967
4,1675.9,-90.066805,35.137967
5,1675.9,-90.066805,35.137967
6,1675.9,-90.066805,35.137967
7,1675.9,-90.066805,35.137967
8,1675.9,-90.066805,35.137967
9,1675.9,-90.066805,35.137967
10,1675.9,-90.066805,35.137967
11,1675.9,-90.066805,35.137967
12,1675.9,-90.066805,35.137967
13,1675.9,-90.066805,35.137967
14,1675.9,-90.066805,35.137967
15,1675.9,-90.066805,35.137967
16,1675.9,-90.066805,35.137967
17,1675.9,-90.066805,35.137967
18,1675.9,-90.066805,35.137967
19,1675.9,-90.066805,35.137967
