stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,656.2,-89.910391,35.512204
-14,656.2,-89.914265,35.511334
-13,689.0,-89.914265,35.511334
-12,689.0,-89.914265,35.511334
-11,721.8,-89.914265,35.511334
-10,721.8,-89.914265,35.511334
-9,754.6,-89.914265,35.511334
-8,787.4,-89.917603,35.510835
-7,787.4,-89.917603,35.510835
-6,820.2,-89.917603,35.510835
-5,820.2,-89.917603,35.510835
-4,853.0,-89.917603,35.510835
-3,885.8,-89.917603,35.510835
-2,918.6,-89.919076,35.510737
-1,951.4,-89.919076,35.510737
0,951.4,-89.919076,35.510737
1,951.4,-89.919076,35.510737
2,984.3,-89.919076,35.510737
3,984.3,-89.919076,35.510737
4,1049.9,-89.921688,35.510807
5,1049.9,-89.921688,35.510807
6,1082.7,-89.921688,35.510807
7,1082.7,-89.921688,35.510807
8,1279.5,-89.932677,35.513068
9,1279.5,-89.932677,35.513068
10,1279.5,-89.932677,35.513068
11,1279.5,-89.932677,35.513068
12,1279.5,-89.932677,35.513068
13,1279.5,-89.932677,35.513068
14,1279.5,-89.932677,35.513068
15,1279.5,-89.932677,35.513068
16,1279.5,-89.932677,35.513068
17,1279.5,-89.932677,35.513068
18,1279.5,-89.932677,35.513068
19,1279.5,-89.932677,35.513068
