stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,218.9,-89.733217,35.912892
-14,223.5,-89.733217,35.912892
-13,228.0,-89.733217,35.912892
-12,232.6,-89.733217,35.912892
-11,237.2,-89.733217,35.912892
-10,241.8,-89.733217,35.912892
-9,249.2,-89.733217,35.912892
-8,257.0,-89.733217,35.912892
-7,264.9,-89.733217,35.912892
-6,272.8,-89.733217,35.912892
-5,280.6,-89.733217,35.912892
-4,287.2,-89.733217,35.912892
-3,293.5,-89.733217,35.912892
-2,299.7,-89.733217,35.912892
-1,306.0,-89.733217,35.912892
0,312.2,-89.733217,35.912892
1,318.5,-89.733217,35.912892
2,323.1,-89.733217,35.912892
3,323.1,-89.733217,35.912892
4,323.1,-89.733217,35.912892
5,323.1,-89.733217,35.912892
6,323.1,-89.733217,35.912892
7,323.1,-89.733217,35.912892
8,323.1,-89.733217,35.912892
9,323.1,-89.733217,35.912892
10,323.1,-89.733217,35.912892
11,323.1,-89.733217,35.912892
12,323.1,-89.733217,35.912892
13,323.1,-89.733217,35.912892
14,323.1,-89.733217,35.912892
15,323.1,-89.733217,35.912892
16,323.1,-89.733217,35.912892
17,323.1,-89.733217,35.912892
18,323.1,-89.733217,35.912892
19,323.1,-89.733217,35.912892
