stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,519.2,-89.942822,35.67193
-14,778.5,-89.942822,35.67193
-13,1383.6,-89.941857,35.673644
-12,1409.2,-89.940559,35.669599
-11,1426.5,-89.940559,35.669599
-10,1561.7,-89.939384,35.668683
-9,1608.2,-89.939384,35.668683
-8,1654.8,-89.937476,35.668569
-7,1682.6,-89.937254,35.667245
-6,1696.1,-89.937254,35.667245
-5,1744.0,-89.937254,35.667245
-4,1774.5,-89.937476,35.668569
-3,1847.4,-89.937476,35.668569
-2,1868.9,-89.937476,35.668569
-1,1922.6,-89.937254,35.667245
0,1993.5,-89.940559,35.669599
1,2079.2,-89.940559,35.669599
2,2113.7,-89.940559,35.669599
3,2165.3,-89.940559,35.669599
4,2218.8,-89.940559,35.669599
5,2238.8,-89.940559,35.669599
6,2283.7,-89.940559,35.669599
7,2318.6,-89.939384,35.668683
8,2348.2,-89.940559,35.669599
9,2418.3,-89.940559,35.669599
10,2455.4,-89.940559,35.669599
11,2460.7,-89.939384,35.668683
12,2460.7,-89.939384,35.668683
13,2460.7,-89.939384,35.668683
14,2460.7,-89.939384,35.668683
15,2460.7,-89.939384,35.668683
16,2460.7,-89.939384,35.668683
17,2460.7,-89.939384,35.668683
18,2460.7,-89.939384,35.668683
19,2460.7,-89.939384,35.668683
